feature,ADHD_mean,Control_mean,ADHD_median,Control_median,p_value,cohen_d,abs_effect_size
P4_alpha_power,2204.7304435078854,2387.760174843409,1669.1260480118608,1654.8003200954122,0.4112625826942996,-0.07221383697770878,0.07221383697770878
P4_beta_power,1880.6396295459244,2234.1222837836563,1633.7261452139237,1467.1732309543154,0.19407867468021345,-0.13711832942252739,0.13711832942252739
P4_theta_beta_ratio,2.2771008070866587,2.890618514643967,2.192121842061741,2.317792347808247,0.19766266093464124,-0.4453774859697381,0.4453774859697381
O1_delta_power,14123.453824288526,29986.27435351807,7756.240854268229,12079.54749669247,0.0037258859200405385,-0.4696264345182886,0.4696264345182886
O1_theta_power,4095.520557054241,6421.0253652494375,3599.328605760743,3974.8959674741413,0.11444004564235453,-0.44971540819415273,0.44971540819415273
O1_alpha_power,2289.9373504245164,2259.4114700119994,1820.852023532752,1586.7138891309385,0.5844347161010564,0.014284544697213524,0.014284544697213524
O1_beta_power,3137.2519628809127,3331.494703077337,2320.8339706105608,2231.2343715290526,0.9648529704336525,-0.059460080492901295,0.059460080492901295
O1_theta_beta_ratio,1.6734902165519927,2.32876320788314,1.4841627525348948,1.7717557536164432,0.06609926921372508,-0.5054812562363706,0.5054812562363706
O2_delta_power,13801.143313877317,22791.99079080074,7684.497153085525,12104.516943724584,0.0547701862442699,-0.30445297024554463,0.30445297024554463
O2_theta_power,4349.982195575082,4824.585069510923,3264.840630004645,3468.4947580063617,0.4537987906150822,-0.08466929143097106,0.08466929143097106
O2_alpha_power,2273.6818752065337,2069.069711624927,1507.4313197285635,1617.753845162312,0.8377514841323126,0.06928491720557235,0.06928491720557235
O2_beta_power,3916.268522392194,3357.90916745174,2447.2881792611624,2469.7034489157345,0.6575941174831956,0.09176208684013344,0.09176208684013344
O2_theta_beta_ratio,1.364515799595134,1.7588267689197927,1.2127100062472598,1.4942716229497943,0.12943389287613205,-0.40525613603681343,0.40525613603681343
F7_delta_power,18446.28284739274,34113.76294366546,13907.620474202473,17263.88182091798,0.16710916166883671,-0.4661661485170938,0.4661661485170938
F7_theta_power,3789.920254082904,5397.716729031258,3609.3023055791737,3562.9806548295655,0.38805704562645293,-0.40821360177581106,0.40821360177581106
F7_alpha_power,1343.2912713937951,1555.7314696644685,1242.1947074626762,1095.9811246136883,0.5020065090084328,-0.17401762178871744,0.17401762178871744
F7_beta_power,1938.680205028796,2136.2647529647675,1723.534557421333,1523.0493569105333,0.4632262531806982,-0.10788273792293543,0.10788273792293543
F7_theta_beta_ratio,2.297602107753863,2.787246610294787,2.102218462593466,2.4745530619175318,0.08018376184577798,-0.3749106116785302,0.3749106116785302
F8_delta_power,21664.87095032437,29648.854280696087,14139.617549815452,15353.685086235062,0.6538491432677774,-0.24190277933979146,0.24190277933979146
F8_theta_power,3960.7961562980136,4825.627308806265,3179.207576260949,2717.7043852320467,0.4663928297751192,-0.19427153858019672,0.19427153858019672
F8_alpha_power,1280.1634937804856,1524.3978594746297,1155.7228867324416,925.571215043131,0.2986167085675755,-0.1694634890642368,0.1694634890642368
F8_beta_power,1932.8721875760743,2189.300347046671,1749.6151908860531,1293.8144831490922,0.09353388353622898,-0.09683968113993449,0.09683968113993449
F8_theta_beta_ratio,2.170708515121246,2.4657456536941607,2.0911383789854625,2.218663873108591,0.4352724022323413,-0.2263198673995007,0.2263198673995007
T7_delta_power,16078.633837521125,31001.364440178815,9831.892763417742,14854.689405550376,0.03464314400179352,-0.46348186988164986,0.46348186988164986
T7_theta_power,3038.509352405387,4555.276151913275,2668.7253104826705,2710.5218678384263,0.2487241959983434,-0.41641297903708246,0.41641297903708246
T7_alpha_power,1380.5805965784705,1554.2379427158862,1260.3839438931727,1070.1530565265539,0.4888919625094411,-0.12139832608886021,0.12139832608886021
T7_beta_power,1547.8070231319102,1574.6280554236134,1335.200303405377,1265.5636658971137,0.16238210719877733,-0.01799295103377346,0.01799295103377346
T7_theta_beta_ratio,2.205795541108062,3.402071908217839,1.9343043322513156,3.21471675181834,0.0022821709300749633,-0.6572923977183178,0.6572923977183178
T8_delta_power,19011.601252313845,26323.64006886913,12218.407626915274,11913.375265304383,0.36566738622340544,-0.2109916334007872,0.2109916334007872
T8_theta_power,3065.99815143232,3762.936980024482,2764.63663358386,2133.6542490683187,0.7616859267565894,-0.19971564315407697,0.19971564315407697
T8_alpha_power,1360.7257531055022,1439.4159265712292,1086.4219178307335,925.1233546105555,0.34675241479237806,-0.04916086901767164,0.04916086901767164
T8_beta_power,2056.8699358379754,2070.2626745244397,1745.402870028328,1295.251075911407,0.03508975588949901,-0.005082399235430131,0.005082399235430131
T8_theta_beta_ratio,1.6672946615800814,2.262910199120895,1.38334861821609,2.037971871722008,0.0324822273713568,-0.47891732023486205,0.47891732023486205
P7_delta_power,9224.327951094005,27307.786153796853,4341.816443243347,9086.410936287046,0.00046206792470580306,-0.5615016018750297,0.5615016018750297
P7_theta_power,2262.7933077067523,4606.12264574769,1831.1959720552704,2680.5399307024413,0.0015515242013398785,-0.58451838438044,0.58451838438044
P7_alpha_power,1071.081145061569,1473.9598682930584,928.3151608993076,957.9047926539681,0.19407867468021345,-0.330053772724543,0.330053772724543
P7_beta_power,1877.1227286989695,2368.667346569938,1519.913495509271,1734.2688731222604,0.47596427193167434,-0.26813470130027356,0.26813470130027356
P7_theta_beta_ratio,1.363972644801535,2.0965478535584,1.1148152392137465,1.7007654708856186,0.002166731816550273,-0.5955885720185198,0.5955885720185198
P8_delta_power,14848.714255299723,20781.83885865707,5923.467862970738,7971.44739903573,0.11325497878190051,-0.17807567889972353,0.17807567889972353
P8_theta_power,2713.242145651441,3386.6266858580275,1681.6311086334963,2142.1114936823415,0.07929268546690067,-0.16016924512764374,0.16016924512764374
P8_alpha_power,1189.3718059448233,1283.5426511355415,697.4567186698513,800.1138178776832,0.16710916166883671,-0.04778178954580693,0.04778178954580693
P8_beta_power,2034.956112226641,2389.2558468080215,1582.3264600852397,1407.3280264532289,0.6575941174831956,-0.11790723012539149,0.11790723012539149
P8_theta_beta_ratio,1.348717765032861,1.885829463151055,1.065163042037119,1.3700504871219414,0.07580857806710851,-0.36473713660830664,0.36473713660830664
Fz_delta_power,17151.78933091701,28292.180800813763,11857.016550241236,14928.05298883294,0.16552212179762915,-0.38330714514859093,0.38330714514859093
Fz_theta_power,6256.852329730074,6258.17103253068,5456.977617137075,4618.158146512336,0.25733291055585605,-0.0003020178358480931,0.0003020178358480931
Fz_alpha_power,2277.978522146425,2087.750632363133,1970.067685410353,1527.5673975671266,0.04510865259754318,0.11685698390954537,0.11685698390954537
Fz_beta_power,2759.0906450715306,2054.5755624623725,2049.2381756153823,1655.245585749973,0.028882833127295136,0.1936118570013749,0.1936118570013749
Fz_theta_beta_ratio,2.91320090405902,3.5060799473485655,2.7831632388770204,3.50089189041376,0.0393350547481049,-0.44736052110107716,0.44736052110107716
Cz_delta_power,13607.58860562454,20791.24627172907,8648.99092109452,9886.27842231771,0.4413988619803719,-0.2668827078851605,0.2668827078851605
Cz_theta_power,5034.637616963138,5686.626267661692,4624.7396826972645,3799.3934400825283,0.12943389287613205,-0.1504400154598337,0.1504400154598337
Cz_alpha_power,2585.5366204563043,2636.755487417455,2191.810214819557,1514.5453470638415,0.005161126207820338,-0.021751992356410055,0.021751992356410055
Cz_beta_power,1866.8505402572544,2545.155646266641,1656.8172107648077,1324.0125563920976,0.016269521831987776,-0.17564034847758858,0.17564034847758858
Cz_theta_beta_ratio,2.9498177810515434,3.3482669863446817,2.8424375512983366,3.020008761739616,0.1430580817610968,-0.2759700927218045,0.2759700927218045
Pz_delta_power,11517.645184253848,26783.27286536338,7626.7579482222145,11268.410186500116,0.0007456156861714795,-0.5390460483794455,0.5390460483794455
Pz_theta_power,4312.808567185085,5941.781065179245,3835.702527993237,3983.9985606321034,0.6575941174831956,-0.3942145187711621,0.3942145187711621
Pz_alpha_power,2465.1849568884804,2585.695665123652,2064.4032983280545,1799.0049262340233,0.38805704562645293,-0.05589662522565537,0.05589662522565537
Pz_beta_power,1936.1477233417195,2018.4464725526443,1772.5737720059394,1536.6016804663473,0.12683408953190867,-0.05072322442929981,0.05072322442929981
Pz_theta_beta_ratio,2.449019661332402,3.553532754129977,2.253933771759221,2.815490005114827,0.00918766670476481,-0.6376295945948063,0.6376295945948063
frontal_delta_power_mean,22075.904828422117,31245.217027113904,18752.164341987955,17715.709925086623,0.8907323072777829,-0.3557387945600015,0.3557387945600015
frontal_theta_power_mean,5419.927475669615,5813.719295004641,4830.948000343918,4682.866128244212,0.3520920387901326,-0.10921210402705801,0.10921210402705801
frontal_alpha_power_mean,1771.9793266568822,1816.1573246374785,1641.542095672486,1394.689790877811,0.15623722443811527,-0.035181639624454364,0.035181639624454364
frontal_beta_power_mean,2422.649214245729,2345.992458004075,2072.11231977894,1669.8675155082103,0.0547701862442699,0.035712209854513434,0.035712209854513434
frontal_theta_beta_ratio,2.5351304466847093,2.859889264296789,2.375411291708486,2.776962627432395,0.17031750185601735,-0.26665405985281804,0.26665405985281804
central_delta_power_mean,14941.639760449078,24007.95844658301,12312.408628590958,12815.219071632273,0.34675241479237806,-0.36833424586243785,0.36833424586243785
central_theta_power_mean,4784.360728958968,5536.916680875747,4264.999222060066,3898.5910684499268,0.24031893712471752,-0.1995660606918595,0.1995660606918595
central_alpha_power_mean,2645.0311869899806,2697.3789225853275,1997.365157667433,1748.1304302702758,0.09053236299298399,-0.021074128250996124,0.021074128250996124
central_beta_power_mean,1856.2409602752894,2122.2689881697015,1725.8816859799178,1375.2837458438814,0.015369685466219016,-0.10859225393938383,0.10859225393938383
central_theta_beta_ratio,2.815374585293811,3.30598482872408,2.677561633155117,2.8985840053649286,0.15472892348537853,-0.3504577249269984,0.3504577249269984
parietal_delta_power_mean,12388.7097567551,25533.478657168907,8973.335576366684,11277.951064852507,0.03692567797572172,-0.53398134704774,0.53398134704774
parietal_theta_power_mean,3532.613800048267,5084.85417573556,3281.9363985966675,3234.347611973403,0.49871051625845975,-0.4312351143265938,0.4312351143265938
parietal_alpha_power_mean,1875.6875270169705,2069.9267425809617,1582.6773371077204,1439.2988831610314,0.5458814110939693,-0.10803398142712484,0.10803398142712484
parietal_beta_power_mean,1969.9422966763625,2421.224111717821,1844.2842229748253,1747.0824387585455,0.4413988619803719,-0.21204986546321586,0.21204986546321586
parietal_theta_beta_ratio,1.9325447747185946,2.3809700180338274,1.814357586088044,2.299660504370662,0.06236803343344608,-0.42955546308814724,0.42955546308814724
temporal_delta_power_mean,17545.117544917488,28662.502254523966,13208.390881096571,15961.4148065623,0.081990321000383,-0.41138489358904407,0.41138489358904407
temporal_theta_power_mean,3052.2537519188545,4159.106565968879,2667.3866860957937,2827.131571457964,0.4663928297751192,-0.36119779854956163,0.36119779854956163
temporal_alpha_power_mean,1370.6531748419864,1496.826934643558,1137.3525221893774,1036.3848374718016,0.47276187997480656,-0.08852448812180212,0.08852448812180212
temporal_beta_power_mean,1802.3384794849428,1822.4453649740267,1570.8254807661883,1299.8020527039735,0.03983261924474144,-0.010078973339346818,0.010078973339346818
temporal_theta_beta_ratio,1.860874986293587,2.7464172216623535,1.6977377928882509,2.497692774892937,0.0004993637606264614,-0.7174489872783841,0.7174489872783841
occipital_delta_power_mean,13962.298569082925,26389.132572159408,8762.030967045719,12437.207276283956,0.005415016580789667,-0.4776149484632055,0.4776149484632055
occipital_theta_power_mean,4222.751376314662,5622.805217380179,3471.7863579892355,3857.312793898529,0.1488061613108939,-0.31550005336917586,0.31550005336917586
occipital_alpha_power_mean,2281.8096128155235,2164.2405908184637,1736.8082050015705,1622.597769258388,0.9235959105614805,0.050434602941820075,0.050434602941820075
occipital_beta_power_mean,3526.7602426365543,3344.701935264538,2410.4132232025718,2430.4938899662757,0.7031820729242639,0.04735779168554054,0.04735779168554054
occipital_theta_beta_ratio,1.47699590974724,1.9797217192368881,1.3502228867929786,1.6363479593154353,0.07001253343400067,-0.4836614147678822,0.4836614147678822
