,frontal_delta_power_mean,frontal_theta_power_mean,frontal_alpha_power_mean,frontal_beta_power_mean,frontal_theta_beta_ratio,central_delta_power_mean,central_theta_power_mean,central_alpha_power_mean,central_beta_power_mean,central_theta_beta_ratio,parietal_delta_power_mean,parietal_theta_power_mean,parietal_alpha_power_mean,parietal_beta_power_mean,parietal_theta_beta_ratio,temporal_delta_power_mean,temporal_theta_power_mean,temporal_alpha_power_mean,temporal_beta_power_mean,temporal_theta_beta_ratio,occipital_delta_power_mean,occipital_theta_power_mean,occipital_alpha_power_mean,occipital_beta_power_mean,occipital_theta_beta_ratio
parietal_beta_power_mean,0.3786072347920336,0.598225172740821,0.6930768188592331,0.7742446822923723,-0.1421758569299553,0.3683037528790137,0.514591518764395,0.5123357268662783,0.7894187779433681,-0.2990109741227476,0.3579460777672402,0.5516393442622951,0.6819536648150657,1.0,-0.3705459964774421,0.18945942284243328,0.40836607505758027,0.5815201192250372,0.7034886871697602,-0.17541661021541796,0.3267578918845685,0.43238721040509415,0.6157498983877523,0.655988348462268,-0.11005283836878471
parietal_theta_beta_ratio,0.22347242921013413,0.18522557918981167,-0.1261278959490584,-0.34579325294675517,0.6012803143205527,0.3477103373526622,0.2792372307275437,-0.2634466874407262,-0.3952919658582848,0.8299281940116515,0.470681479474326,0.49319875355642867,-0.11719956645440997,-0.3705459964774421,1.0,0.3243666169895678,0.42272049857742855,-0.03008399945806801,-0.28263785394932933,0.6796436797181954,0.4242717788917491,0.4299823872104051,-0.03239398455493835,-0.2772727272727273,0.6469177618208914
temporal_delta_power_mean,0.5539832001083864,0.27106760601544505,0.11060154450616448,0.08578783362687982,0.2750101612247663,0.73301043219076,0.3531838504267714,0.01684053651266766,0.12465113128302398,0.27495596802601274,0.7109131553989975,0.46005283836878474,0.14741227475951768,0.18945942284243328,0.3243666169895678,1.0,0.7281872375016936,0.3587454274488552,0.23525267578918846,0.5431919794065845,0.6919455358352526,0.5615431513345075,0.23937813304430294,0.17106083186560087,0.40083999458068015
temporal_theta_power_mean,0.5127421758569299,0.6601205798672266,0.4377252404823195,0.31573635008806394,0.39792711014767645,0.6643950684189134,0.7621663731201734,0.24893645847446144,0.36981438829426905,0.3989025877252405,0.6310797994851646,0.7840807478661428,0.38275301449668064,0.40836607505758027,0.42272049857742855,0.7281872375016936,1.0,0.6105608996070994,0.4128234656550603,0.617653434493971,0.6081628505622544,0.7075667253759653,0.4385042677144018,0.27830239804904483,0.4336810730253353
temporal_alpha_power_mean,0.36225443706814797,0.5238043625524996,0.8086302669015039,0.4587996206476087,0.09743937135889445,0.37325565641511993,0.5642663595718738,0.7662105405771575,0.6016528925619835,-0.04093618750846769,0.3272524048231947,0.5046741633924943,0.8348326784988483,0.5815201192250372,-0.03008399945806801,0.3587454274488552,0.6105608996070994,1.0,0.5658244140360384,0.1082034954613196,0.30466738924265,0.461942826175315,0.6478390461997019,0.3203766427313372,0.14038070722124374
temporal_beta_power_mean,0.24791356184798807,0.41209185747188726,0.5336946213250237,0.7019238585557512,-0.24829968838910715,0.3175856929955291,0.4614415390868446,0.49685679447229375,0.7123560493158109,-0.2756672537596532,0.20438287494919388,0.3674027909497358,0.5052770627286276,0.7034886871697602,-0.28263785394932933,0.23525267578918846,0.4128234656550603,0.5658244140360384,1.0,-0.3874949193876169,0.17123018561170572,0.24517680531093347,0.41336539764259583,0.46810730253353205,-0.12580951090638126
temporal_theta_beta_ratio,0.30662511854762226,0.2789662647337759,-0.041898116786343316,-0.27491532312694755,0.622144695840672,0.4087115566996342,0.3524996612925078,-0.19846226798536784,-0.23405365126676603,0.6808630266901504,0.46287088470396964,0.4439168134399133,-0.08241430700447094,-0.17541661021541796,0.6796436797181954,0.5431919794065845,0.617653434493971,0.1082034954613196,-0.3874949193876169,1.0,0.4762837013954749,0.4977442081018832,0.06795149708711556,-0.12448177753691912,0.5833355913832814
occipital_delta_power_mean,0.6605608996070993,0.4359368649234521,0.24331391410377998,0.2021270830510771,0.28786749762904756,0.7876981438829427,0.3934764937000406,-0.013385720092128437,0.13947297114212168,0.3365871833084948,0.876602086438152,0.6679108521880504,0.2663257011245089,0.3267578918845685,0.4242717788917491,0.6919455358352526,0.6081628505622544,0.30466738924265,0.17123018561170572,0.4762837013954749,1.0,0.8308156076412411,0.48546944858420266,0.2624508874136296,0.5457593821975342
occipital_theta_power_mean,0.5011380571738246,0.5392561983471075,0.3914307004470939,0.28239398455493836,0.2936593957458339,0.6490041999729034,0.5582576886600732,0.1655669963419591,0.2560831865600867,0.3629047554531906,0.7013751524183715,0.7842636499119361,0.4486383958813169,0.43238721040509415,0.4299823872104051,0.5615431513345075,0.7075667253759653,0.461942826175315,0.24517680531093347,0.4977442081018832,0.8308156076412411,1.0,0.6828275301449668,0.3237840401029671,0.6224359842839724
occipital_alpha_power_mean,0.3472564693131012,0.505256740279095,0.6868581493022625,0.49455358352526757,0.035794607776724024,0.33135753962877657,0.4646524861129928,0.4968093754233844,0.48026690150386125,-0.010052838368784718,0.36721311475409835,0.5211895407126406,0.747073567267308,0.6157498983877523,-0.03239398455493835,0.23937813304430294,0.4385042677144018,0.6478390461997019,0.41336539764259583,0.06795149708711556,0.48546944858420266,0.6828275301449668,1.0,0.5644966806665763,0.1590638124915323
occipital_beta_power_mean,0.32915594092941336,0.4489635550738382,0.4361942826175315,0.5574041457797047,-0.08093754233843653,0.18131012057986723,0.2927855304159328,0.2782278824007587,0.5186831052702886,-0.26161766698279365,0.20639479745291966,0.3404416745698415,0.3610892832949465,0.655988348462268,-0.2772727272727273,0.17106083186560087,0.27830239804904483,0.3203766427313372,0.46810730253353205,-0.12448177753691912,0.2624508874136296,0.3237840401029671,0.5644966806665763,1.0,-0.4635957187372985
occipital_theta_beta_ratio,0.23540848123560493,0.1698889039425552,0.010777672402113535,-0.1730117870207289,0.4074922097276792,0.47485435577834983,0.2961251862891207,-0.08008399945806802,-0.15985638802330307,0.5810188321365669,0.4695569706001897,0.43735943639073294,0.09194553583525268,-0.11005283836878471,0.6469177618208914,0.40083999458068015,0.4336810730253353,0.14038070722124374,-0.12580951090638126,0.5833355913832814,0.5457593821975342,0.6224359842839724,0.1590638124915323,-0.4635957187372985,1.0
