feature,feature_level,band,node_1,node_2,n_ADHD,n_Control,ADHD_mean_r,Control_mean_r,mean_difference_r,ADHD_median_r,Control_median_r,ADHD_mean_z,Control_mean_z,U_statistic,p_value,cohen_d_z,abs_cohen_d_z,rank_biserial,abs_rank_biserial,p_fdr_all,p_fdr_within_level,p_fdr_within_level_band,significant_uncorrected,significant_fdr_all,significant_fdr_within_level,significant_fdr_within_level_band,direction
central_parietal_beta_connectivity,regional,beta,central,parietal,61,60,-0.1503473372354771,-0.3368671504551731,0.18651981321969602,-0.138396239070823,-0.3336256854648946,-0.15824204297146224,-0.3808659281804214,2692.0,7.966985433144781e-06,0.8676145008194314,0.8676145008194314,0.4710382513661202,0.4710382513661202,0.00041149868749029565,0.0002230882603203842,7.96698543314478e-05,True,True,True,True,ADHD > Control
central_parietal_theta_connectivity,regional,theta,central,parietal,61,60,-0.14357123184017173,-0.33279664783163326,0.18922541599146153,-0.1384465367556082,-0.3654432726757017,-0.15291576581489713,-0.36726227960565383,2678.0,1.115441301601921e-05,0.8625602159192076,0.8625602159192076,0.46338797814207644,0.46338797814207644,0.0004352984596441212,0.0002230882603203842,0.0001115441301601921,True,True,True,True,ADHD > Control
P3_T8_beta_connectivity,channel,beta,P3,T8,61,60,-0.29485264416426815,-0.1597460555483648,-0.13510658861590336,-0.2887640175832019,-0.11465197463603674,-0.31282724026285796,-0.16635495842981168,997.0,1.5907531560894787e-05,-0.8534120727658101,0.8534120727658101,-0.45519125683060113,0.45519125683060113,0.0004798772020869928,0.000494579617620547,0.00014316778404805308,True,True,True,True,Control > ADHD
central_occipital_beta_connectivity,regional,beta,central,occipital,61,60,-0.22855830514471973,-0.3727743649849956,0.14421605984027588,-0.2577105761763772,-0.4179971335507933,-0.23999765111226562,-0.40769864322658395,2650.0,2.1536172622427642e-05,0.8462698934651893,0.8462698934651893,0.4480874316939891,0.4480874316939891,0.0006236875591455045,0.00028714896829903523,0.00010768086311213821,True,True,True,True,ADHD > Control
F3_Fz_beta_connectivity,channel,beta,F3,Fz,61,60,0.5305017415973174,0.3923132590125709,0.13818848258474653,0.5368326759674547,0.40815862471411335,0.6046945697989158,0.4349968865542102,2634.0,3.1081584902622005e-05,0.8435953604771962,0.8435953604771962,0.43934426229508206,0.43934426229508206,0.0008655025949807051,0.0009243393075388458,0.0002657475509174182,True,True,True,True,ADHD > Control
C3_Pz_beta_connectivity,channel,beta,C3,Pz,61,60,0.13588278006665183,0.0005208920682056255,0.1353618879984462,0.1346644544083184,-0.0249542386539281,0.13917027255210576,0.0010229945103018732,2664.0,1.553832021917668e-05,0.8416017331008406,0.8416017331008406,0.4557377049180329,0.4557377049180329,0.0004798772020869928,0.000494579617620547,0.00014316778404805308,True,True,True,True,ADHD > Control
F3_P4_beta_connectivity,channel,beta,F3,P4,61,60,-0.4769928571774997,-0.35986957667314207,-0.11712328050435761,-0.4815468958433408,-0.3749494113489975,-0.5311867085770918,-0.38803000698565093,987.0,1.256353779436295e-05,-0.834765765081556,0.834765765081556,-0.4606557377049181,0.4606557377049181,0.0004435378380153851,0.00046314172035860656,0.00012940724539431655,True,True,True,True,Control > ADHD
F4_Cz_theta_connectivity,channel,theta,F4,Cz,61,60,0.22227105074358508,0.43901279034081586,-0.21674173959723078,0.1982751626889257,0.504399629997906,0.24599018386673135,0.5447539288061324,991.0,1.3811555533945743e-05,-0.8085562447633023,0.8085562447633023,-0.45846994535519126,0.45846994535519126,0.0004545257366625781,0.00047235519926094443,0.0011808879981523612,True,True,True,True,Control > ADHD
C3_P7_beta_connectivity,channel,beta,C3,P7,61,60,0.06485139792680332,-0.09466412861987085,0.15951552654667417,0.0170172547838549,-0.1102697291408904,0.06806452012966648,-0.09873202319516619,2615.0,4.764340373713029e-05,0.7984376998225982,0.7984376998225982,0.4289617486338797,0.4289617486338797,0.0011497941435227442,0.0012533880060075814,0.00037031918359314907,True,True,True,True,ADHD > Control
F3_Fz_theta_connectivity,channel,theta,F3,Fz,61,60,0.6991520723499902,0.5536243209968331,0.1455277513531571,0.730164372263361,0.5786558694465149,0.9092293276144844,0.6787498788669207,2587.0,8.791083779595372e-05,0.7917302511709327,0.7917302511709327,0.4136612021857924,0.4136612021857924,0.0016749328043229078,0.0018790941578885108,0.0037581883157770217,True,True,True,True,ADHD > Control
central_occipital_theta_connectivity,regional,theta,central,occipital,61,60,-0.30218407241934486,-0.43236409729005987,0.130180024870715,-0.3227522279657097,-0.4602704080207795,-0.32166471503898086,-0.4835002719728998,2598.0,6.927347546293996e-05,0.7830148319142669,0.7830148319142669,0.4196721311475411,0.4196721311475411,0.0013931665620880147,0.0005493687706576668,0.00034636737731469976,True,True,True,True,ADHD > Control
F3_F7_beta_connectivity,channel,beta,F3,F7,61,60,0.4537693503144887,0.276762444401984,0.17700690591250468,0.469718337652847,0.3045719768260299,0.5257917494488796,0.3027187366535553,2575.0,0.00011360346791324564,0.7812245216354009,0.7812245216354009,0.4071038251366119,0.4071038251366119,0.0020562227692297462,0.0022854344721370593,0.0006937926076130359,True,True,True,True,ADHD > Control
central_parietal_alpha_connectivity,regional,alpha,central,parietal,61,60,-0.09666447027341947,-0.3060007515737845,0.20933628130036502,-0.0848332969248696,-0.38418751135246487,-0.10353341664827721,-0.34438724402827625,2617.0,4.5568634396075346e-05,0.7765296082067165,0.7765296082067165,0.4300546448087432,0.4300546448087432,0.0011497941435227442,0.00045568634396075345,0.00045568634396075345,True,True,True,True,ADHD > Control
T7_Cz_beta_connectivity,channel,beta,T7,Cz,61,60,-0.20038244088787413,-0.059536513998430886,-0.14084592688944325,-0.1867667053963321,-0.03547009343655185,-0.2092572479974236,-0.062412093509055196,983.0,1.1423578360826384e-05,-0.7755024036200028,0.7755024036200028,-0.4628415300546448,0.4628415300546448,0.0004352984596441212,0.00045963103522383807,0.00012940724539431655,True,True,True,True,Control > ADHD
frontal_central_beta_connectivity,regional,beta,frontal,central,61,60,-0.15566459766850732,0.020969898325002415,-0.17663449599350972,-0.164444997159027,0.029440901628858547,-0.1619096644608289,0.02125645582276979,1070.0,8.240531559865e-05,-0.7666981102991902,0.7666981102991902,-0.41530054644808745,0.41530054644808745,0.0016124715809033136,0.0005493687706576668,0.0002746843853288334,True,True,True,True,Control > ADHD
F4_P4_beta_connectivity,channel,beta,F4,P4,61,60,-0.03369518134784494,-0.19497313273305755,0.16127795138521261,-0.0625903490897659,-0.2003045221614788,-0.034669577390563956,-0.20641203703223382,2599.0,6.77787268665553e-05,0.7489144924823147,0.7489144924823147,0.42021857923497263,0.42021857923497263,0.0013931665620880147,0.0014955048121523815,0.0004457754728531137,True,True,True,True,ADHD > Control
Fp2_P3_beta_connectivity,channel,beta,Fp2,P3,61,60,-0.41321475233408683,-0.30121274959942923,-0.1120020027346576,-0.3871238418839369,-0.32316766225595395,-0.4586988796321166,-0.31743779828158836,1092.0,0.00013170650955570922,-0.743924757348964,0.743924757348964,-0.40327868852459015,0.40327868852459015,0.0021671707481439426,0.0023707171720027662,0.0007038066604383212,True,True,True,True,Control > ADHD
F4_Cz_alpha_connectivity,channel,alpha,F4,Cz,61,60,0.15755669820178494,0.3568346793567023,-0.19927798115491738,0.1603539977693009,0.3894652643807607,0.17037564606169966,0.42668598679188213,1055.0,5.9431728225222095e-05,-0.7429260012712765,0.7429260012712765,-0.42349726775956287,0.42349726775956287,0.00134464285109565,0.0014472408079277716,0.00508141276325649,True,True,True,True,Control > ADHD
central_occipital_alpha_connectivity,regional,alpha,central,occipital,61,60,-0.329908933136813,-0.46852273456092,0.13861380142410695,-0.3313186278869542,-0.501813043775301,-0.3587391808511183,-0.5355552555859949,2563.0,0.00014626583585110095,0.741177912463658,0.741177912463658,0.4005464480874317,0.4005464480874317,0.00230209706861298,0.0008358047762920055,0.0007313291792555047,True,True,True,True,ADHD > Control
C3_T8_beta_connectivity,channel,beta,C3,T8,61,60,-0.3314790220625632,-0.21084234121641285,-0.12063668084615034,-0.3289584655692418,-0.19626895836506064,-0.3568605068253255,-0.22126588887474258,1058.0,6.347547403191981e-05,-0.738944519061271,0.738944519061271,-0.4218579234972678,0.4218579234972678,0.0013516542117385276,0.0014472408079277716,0.0004341722423783315,True,True,True,True,Control > ADHD
F3_O2_beta_connectivity,channel,beta,F3,O2,61,60,-0.428505919270895,-0.33620839282798937,-0.09229752644290562,-0.4326054394287005,-0.3460617901508052,-0.46682151017392226,-0.35732166895693573,1095.0,0.00014026906083184045,-0.7385705344834054,0.7385705344834054,-0.4016393442622951,0.4016393442622951,0.0022567733342722775,0.0024601035284353557,0.0007268487697649915,True,True,True,True,Control > ADHD
O1_P8_beta_connectivity,channel,beta,O1,P8,61,60,-0.07692070622052047,0.032789708127969344,-0.10971041434848981,-0.0482993975527206,0.03921544107127695,-0.07896764002728056,0.03292320969900923,1080.0,0.0001021387177090649,-0.728427868034893,0.728427868034893,-0.4098360655737705,0.4098360655737705,0.0018961136313169996,0.0021170570579697088,0.0006468785454907444,True,True,True,True,Control > ADHD
F4_P8_beta_connectivity,channel,beta,F4,P8,61,60,-0.07875248548028504,-0.20959322167967534,0.1308407361993903,-0.1025609850275684,-0.2364780359671626,-0.07950615104912101,-0.22070200817542956,2570.0,0.00012627441624434602,0.7255288113703668,0.7255288113703668,0.40437158469945356,0.40437158469945356,0.0021671707481439426,0.0023707171720027662,0.0007038066604383212,True,True,True,True,ADHD > Control
P3_P8_beta_connectivity,channel,beta,P3,P8,61,60,-0.21345617659417299,-0.08579913619481504,-0.12765704039935794,-0.1982481902687888,-0.03421935477717595,-0.22255781037794817,-0.09008142811737042,988.0,1.286504778773907e-05,-0.722969990413869,0.722969990413869,-0.4601092896174863,0.4601092896174863,0.0004435378380153851,0.00046314172035860656,0.00012940724539431655,True,True,True,True,Control > ADHD
F4_C3_alpha_connectivity,channel,alpha,F4,C3,61,60,-0.23864830311746568,-0.07023005945992342,-0.16841824365754227,-0.2577224884108061,-0.08633839872980989,-0.24987907719283145,-0.07286072547387179,1143.0,0.000372470289890464,-0.721504993911032,0.721504993911032,-0.37540983606557377,0.37540983606557377,0.0048155087478695706,0.005199381189491376,0.012500212001858947,True,True,True,True,Control > ADHD
C4_Fz_beta_connectivity,channel,beta,C4,Fz,61,60,-0.17050775647559024,-0.037478598061163854,-0.1330291584144264,-0.1717015550883423,-0.06512662064162489,-0.17642044044439179,-0.039499642033836345,1146.0,0.0003951436204550938,-0.7187812641978044,0.7187812641978044,-0.3737704918032787,0.3737704918032787,0.004932482434646343,0.0052995732625741995,0.0015971739002990188,True,True,True,True,Control > ADHD
F7_Cz_beta_connectivity,channel,beta,F7,Cz,61,60,-0.23672288023626709,-0.12340443726640667,-0.11331844296986042,-0.2110414872366505,-0.1148321080801359,-0.2485546225649693,-0.12681969800062246,1137.0,0.0003307252154434101,-0.7156984402639773,0.7156984402639773,-0.3786885245901639,0.3786885245901639,0.004434167703352387,0.004813107390708352,0.0013793661424591006,True,True,True,True,Control > ADHD
F3_T8_beta_connectivity,channel,beta,F3,T8,61,60,-0.30003776833804024,-0.1909090633162832,-0.10912870502175703,-0.2866272184953019,-0.19372780061517805,-0.31889083603898144,-0.19887816090921012,1055.0,5.9431728225222095e-05,-0.7154405371069059,0.7154405371069059,-0.42349726775956287,0.42349726775956287,0.00134464285109565,0.0014472408079277716,0.0004341722423783315,True,True,True,True,Control > ADHD
P3_Cz_theta_connectivity,channel,theta,P3,Cz,61,60,-0.06369520019679577,-0.24939090361011215,0.18569570341331637,-0.0041984225219304,-0.25518630858608504,-0.07297070339583644,-0.27737198430259863,2629.0,3.481041137475584e-05,0.7131400056018942,0.7131400056018942,0.43661202185792347,0.43661202185792347,0.000933434734641601,0.0009920967241805415,0.001984193448361083,True,True,True,True,ADHD > Control
C3_P3_alpha_connectivity,channel,alpha,C3,P3,61,60,0.4225618862705643,0.20049755460578758,0.2220643316647767,0.4321788751150546,0.20293787556232465,0.500143049946157,0.2351249422565629,2499.0,0.0005291574299147689,0.6989470080169156,0.6989470080169156,0.3655737704918032,0.3655737704918032,0.005986093425910823,0.006463280036816106,0.012500212001858947,True,True,True,True,ADHD > Control
F3_Fz_alpha_connectivity,channel,alpha,F3,Fz,61,60,0.657009826220206,0.521960252273216,0.13504957394699002,0.6756009222977539,0.5694469626069707,0.8309734519467278,0.6272985164380567,2495.0,0.0005714629913611083,0.6974877162475059,0.6974877162475059,0.3633879781420766,0.3633879781420766,0.0063652185499298835,0.0068575558963333005,0.012500212001858947,True,True,True,True,ADHD > Control
frontal_central_theta_connectivity,regional,theta,frontal,central,61,60,-0.17401040009005572,-0.011045241371615758,-0.16296515871843997,-0.2119598694108563,-0.014119993456724551,-0.18409286857550058,-0.01262576042130156,1160.0,0.0005190469048367496,-0.6936481861634943,0.6936481861634943,-0.36612021857923494,0.36612021857923494,0.005964919985742964,0.0025952345241837477,0.001730156349455832,True,True,True,True,Control > ADHD
Fz_Pz_beta_connectivity,channel,beta,Fz,Pz,61,60,0.04224884610727805,-0.09037497998185122,0.13262382608912926,0.0180504941592842,-0.13426165339202079,0.045159323854268726,-0.09376035769215016,2533.0,0.00027073483324300873,0.6923057378227645,0.6923057378227645,0.38415300546448083,0.38415300546448083,0.004170468495062517,0.0046295656484554495,0.0013616369554280733,True,True,True,True,ADHD > Control
O2_F8_beta_connectivity,channel,beta,O2,F8,61,60,-0.06571375364597076,-0.1794936912860866,0.11377993764011585,-0.0788970716655068,-0.17515526520229796,-0.06692494776074182,-0.18753461533559934,2523.0,0.0003307252154434101,0.6919275122467041,0.6919275122467041,0.3786885245901639,0.3786885245901639,0.004434167703352387,0.004813107390708352,0.0013793661424591006,True,True,True,True,ADHD > Control
P4_Pz_beta_connectivity,channel,beta,P4,Pz,61,60,0.12747403718547737,0.26849797303133194,-0.14102393584585457,0.1643866125907582,0.3219729477830148,0.13173217330059522,0.28822707534132486,1044.0,4.6595069945738516e-05,-0.6874127236338208,0.6874127236338208,-0.42950819672131146,0.42950819672131146,0.0011497941435227442,0.0012533880060075814,0.00037031918359314907,True,True,True,True,Control > ADHD
F3_F7_alpha_connectivity,channel,alpha,F3,F7,61,60,0.538106076984921,0.38017233840774733,0.15793373857717363,0.5610152786405379,0.3955482360974449,0.6575398990955748,0.43371150365591754,2521.0,0.00034412761710930973,0.6809539928959355,0.6809539928959355,0.3775956284153006,0.3775956284153006,0.004529970814311641,0.004903818543807664,0.012500212001858947,True,True,True,True,ADHD > Control
F3_Cz_alpha_connectivity,channel,alpha,F3,Cz,61,60,-0.15131553679175153,0.023500853395846448,-0.17481639018759798,-0.1575634630280421,0.005095133663169851,-0.1572393261873514,0.02872331440605985,1217.0,0.001497137475749322,-0.6803487647538564,0.6803487647538564,-0.33497267759562843,0.33497267759562843,0.011911291565302297,0.012488317480640687,0.017374824354885,True,True,True,True,Control > ADHD
P3_F7_beta_connectivity,channel,beta,P3,F7,61,60,-0.0924892446977931,-0.21678183780134652,0.12429259310355342,-0.1264778176568324,-0.2548112818292436,-0.09332285448634985,-0.2286259139404709,2526.0,0.0003115345680693857,0.6740271799404255,0.6740271799404255,0.38032786885245895,0.38032786885245895,0.00442256916239677,0.004813107390708352,0.0013793661424591006,True,True,True,True,ADHD > Control
F3_C4_alpha_connectivity,channel,alpha,F3,C4,61,60,-0.268074755427535,-0.1078817085029575,-0.1601930469245775,-0.2667998023505981,-0.12957099802761096,-0.2832979994319072,-0.11704947816725607,1178.0,0.0007317023854802133,-0.6706360357839453,0.6706360357839453,-0.35628415300546445,0.35628415300546445,0.0076031796730725515,0.008095256021290348,0.012500212001858947,True,True,True,True,Control > ADHD
F3_F4_beta_connectivity,channel,beta,F3,F4,61,60,0.001954979663665812,0.13943834780606507,-0.13748336814239925,0.0136920715024544,0.14690925967623603,0.0015587441007940742,0.14694270795969192,1178.0,0.0007317023854802133,-0.6608614699059032,0.6608614699059032,-0.35628415300546445,0.35628415300546445,0.0076031796730725515,0.008095256021290348,0.00255000564670646,True,True,True,True,Control > ADHD
O2_P7_beta_connectivity,channel,beta,O2,P7,61,60,-0.12491334828128654,-0.02212571927431644,-0.10278762900697011,-0.1191167413929677,-0.0266202126411235,-0.12753628760905775,-0.02275484337157626,1186.0,0.0008501036902871588,-0.660416724631347,0.660416724631347,-0.3519125683060109,0.3519125683060109,0.008098356207472408,0.008551043002300245,0.0027955332892135414,True,True,True,True,Control > ADHD
C4_P8_beta_connectivity,channel,beta,C4,P8,61,60,0.08548988901413711,-0.061617553874888445,0.14710744288902555,0.060849730898831,-0.08470512502620756,0.0924141805728217,-0.06380470198477846,2527.0,0.0003053728952619857,0.6603924609543447,0.6603924609543447,0.3808743169398907,0.3808743169398907,0.004421799523393552,0.004813107390708352,0.0013793661424591006,True,True,True,True,ADHD > Control
P4_T8_beta_connectivity,channel,beta,P4,T8,61,60,0.23470517241202887,0.10329853845830206,0.13140663395372681,0.2396979136996402,0.10676424514212005,0.2498667886607335,0.1089690651779222,2512.0,0.00041096872288395804,0.6583910778313389,0.6583910778313389,0.3726775956284154,0.3726775956284154,0.0049590225894664275,0.0053038227632571195,0.0015971739002990188,True,True,True,True,ADHD > Control
F4_C4_theta_connectivity,channel,theta,F4,C4,61,60,0.32339920777944353,0.48720869809992834,-0.1638094903204848,0.2633005908154004,0.5103785016998579,0.36684199631671033,0.6421983093415693,1145.0,0.0003874463280623403,-0.6535021293484944,0.6535021293484944,-0.37431693989071035,0.37431693989071035,0.004921248096791832,0.0052995732625741995,0.01325066441973204,True,True,True,True,Control > ADHD
P4_F7_beta_connectivity,channel,beta,P4,F7,61,60,-0.371910863460561,-0.27862099786672295,-0.09328986559383806,-0.3550401369484393,-0.26458213405332487,-0.4030207669905956,-0.293044416455527,1133.0,0.0003053728952619857,-0.6533761329670102,0.6533761329670102,-0.3808743169398907,0.3808743169398907,0.004421799523393552,0.004813107390708352,0.0013793661424591006,True,True,True,True,Control > ADHD
P3_P4_beta_connectivity,channel,beta,P3,P4,61,60,-0.09347318248598828,0.03262479350033407,-0.12609797598632236,-0.0982688214592449,0.0802862692544585,-0.09800348748686288,0.032907987889467534,1181.0,0.0007741823324998364,-0.65174255726161,0.65174255726161,-0.3546448087431694,0.3546448087431694,0.007678191900409336,0.008146780237382894,0.002595787820734746,True,True,True,True,Control > ADHD
Fp2_P8_beta_connectivity,channel,beta,Fp2,P8,61,60,-0.013935000367640877,-0.15021860965033365,0.13628360928269279,-0.0626204187626557,-0.20247260308093812,-0.01209106314267546,-0.15554571640956597,2572.0,0.00012105399788312286,0.6495349134674222,0.6495349134674222,0.40546448087431686,0.40546448087431686,0.0021376364504239256,0.002365740987201601,0.0007038066604383212,True,True,True,True,ADHD > Control
F8_Fz_beta_connectivity,channel,beta,F8,Fz,61,60,-0.04960693502426449,0.06427168873132683,-0.11387862375559132,-0.0580207541332058,0.07585165648556269,-0.05095985066828242,0.06870408281949031,1148.0,0.00041096872288395804,-0.6477021314668243,0.6477021314668243,-0.3726775956284153,0.3726775956284153,0.0049590225894664275,0.0053038227632571195,0.0015971739002990188,True,True,True,True,Control > ADHD
P3_Pz_beta_connectivity,channel,beta,P3,Pz,61,60,0.47504257246460385,0.37598105804867893,0.09906151441592492,0.498565487789487,0.4323090838472718,0.5310082792264492,0.4062872741480022,2523.0,0.0003307252154434101,0.6468449045055219,0.6468449045055219,0.3786885245901639,0.3786885245901639,0.004434167703352387,0.004813107390708352,0.0013793661424591006,True,True,True,True,ADHD > Control
Fp1_P4_beta_connectivity,channel,beta,Fp1,P4,61,60,-0.444079746079034,-0.3510023648496871,-0.09307738122934689,-0.4521782869111811,-0.334766162251795,-0.4966612268971037,-0.37648892289315705,1170.0,0.0006287743625320899,-0.6318134038531451,0.6318134038531451,-0.360655737704918,0.360655737704918,0.0068974642192914095,0.007415201102964646,0.0023374003476736385,True,True,True,True,Control > ADHD
F4_P3_beta_connectivity,channel,beta,F4,P3,61,60,-0.4614673053599288,-0.36432564658805233,-0.09714165877187647,-0.4806710585875743,-0.39053683550640855,-0.5124573075772195,-0.3950966891869514,1210.0,0.0013203190917151328,-0.6160327988483294,0.6160327988483294,-0.3387978142076503,0.3387978142076503,0.01098748301611214,0.011578182804271165,0.003826687537004877,True,True,True,True,Control > ADHD
F4_O2_beta_connectivity,channel,beta,F4,O2,61,60,-0.12116681972193995,-0.23840238418579796,0.11723556446385801,-0.0945565253651116,-0.260228157956675,-0.1286030164672835,-0.25243240665320305,2530.0,0.0002875656403210762,0.614058106806943,0.614058106806943,0.3825136612021858,0.3825136612021858,0.004337448408176233,0.0047974365360881985,0.0013793661424591006,True,True,True,True,ADHD > Control
Fp2_P4_beta_connectivity,channel,beta,Fp2,P4,61,60,-0.12112162311409726,-0.24706893127721327,0.125947308163116,-0.1343421288845164,-0.29202870221138477,-0.1254028491613165,-0.2636754458726421,2438.0,0.0016365228584087827,0.6137090617426078,0.6137090617426078,0.33224043715846996,0.33224043715846996,0.012604707973276156,0.013169195707665969,0.004441990615680982,True,True,True,True,ADHD > Control
