feature,control_mean,adhd_mean,adhd_minus_control,absolute_difference
F4_P4_beta_connectivity,0.08307339560812607,0.27304676004508094,0.18997336443695487,0.18997336443695487
C3_P4_theta_connectivity,0.268557392805884,0.4568940991463907,0.1883367063405067,0.1883367063405067
central_occipital_theta_connectivity,0.24440585236271628,0.4317500527463644,0.18734420038364813,0.18734420038364813
Fp1_P3_beta_connectivity,-0.030066521385870636,0.15631902427224156,0.1863855456581122,0.1863855456581122
temporal_occipital_beta_connectivity,0.08249800560694363,0.2686201346086074,0.18612212900166375,0.18612212900166375
C4_P4_theta_connectivity,0.5166324266187299,0.702224509105711,0.1855920824869811,0.1855920824869811
F3_O1_beta_connectivity,-0.06503542924635956,0.1171167843758942,0.18215221362225376,0.18215221362225376
P7_Cz_alpha_connectivity,-0.00020308985780759608,0.180914805964394,0.18111789582220159,0.18111789582220159
F3_F7_beta_connectivity,0.39650125510815987,0.5774321848213517,0.18093092971319186,0.18093092971319186
O2_T8_alpha_connectivity,0.13494754610261295,0.3133424308426411,0.17839488474002813,0.17839488474002813
O2_F8_beta_connectivity,-0.02787906774558652,0.1501977284464825,0.178076796192069,0.178076796192069
C4_Pz_alpha_connectivity,0.24760174644440683,0.42514690167387564,0.17754515522946882,0.17754515522946882
T7_P7_beta_connectivity,0.25685275793458173,0.4343331850074626,0.17748042707288086,0.17748042707288086
P4_T8_theta_connectivity,0.37248811487538747,0.5480783333274672,0.17559021845207978,0.17559021845207978
F4_P8_alpha_connectivity,-0.03605327151136586,0.1390350840595443,0.17508835557091015,0.17508835557091015
C3_Pz_alpha_connectivity,0.31706003339058547,0.4918302224952376,0.17477018910465214,0.17477018910465214
O1_Fz_beta_connectivity,-0.03674760478741878,0.1376411256145114,0.17438873040193018,0.17438873040193018
P4_Fz_alpha_connectivity,-0.05951918202326989,0.11454390566923837,0.17406308769250828,0.17406308769250828
O1_Cz_theta_connectivity,0.06256324690015788,0.23662048123678237,0.17405723433662448,0.17405723433662448
Cz_Pz_beta_connectivity,0.12094492086902583,0.29482812236155154,0.1738832014925257,0.1738832014925257
O1_T7_beta_connectivity,0.10177536934593226,0.27529688440482913,0.17352151505889687,0.17352151505889687
P4_Fz_theta_connectivity,0.08276666149936479,0.2547787578447829,0.1720120963454181,0.1720120963454181
P4_F8_alpha_connectivity,-0.017199625314127862,0.15347750375642735,0.1706771290705552,0.1706771290705552
O2_T8_beta_connectivity,0.08293313599942188,0.25353283475688415,0.17059969875746228,0.17059969875746228
F3_P7_beta_connectivity,-0.022432992371400354,0.14791872701667488,0.17035171938807525,0.17035171938807525
T7_P7_alpha_connectivity,0.44160464178223363,0.6118380691443701,0.17023342736213648,0.17023342736213648
temporal_parietal_alpha_connectivity,0.40800897598120717,0.5777808913700729,0.16977191538886577,0.16977191538886577
Fp1_F3_beta_connectivity,0.4183829336230303,0.5872329785445013,0.168850044921471,0.168850044921471
C4_Pz_theta_connectivity,0.30755776627440556,0.47595830148451984,0.16840053521011428,0.16840053521011428
P8_Cz_alpha_connectivity,0.038428689462044474,0.20624299450302938,0.1678143050409849,0.1678143050409849
F4_O2_alpha_connectivity,-0.10146761564942529,0.06532454945730273,0.166792165106728,0.166792165106728
P3_T7_beta_connectivity,0.308447183217961,0.4740951280405605,0.16564794482259948,0.16564794482259948
F7_Pz_beta_connectivity,-0.019561164385816836,0.1442185389720429,0.16377970335785974,0.16377970335785974
Fp2_Pz_theta_connectivity,-0.03844579957567971,0.12474550897960637,0.16319130855528607,0.16319130855528607
C3_O2_alpha_connectivity,-0.02838824323928779,0.13442365370058984,0.16281189693987763,0.16281189693987763
C4_P7_alpha_connectivity,-0.010583840143374493,0.15120418873938138,0.16178802888275587,0.16178802888275587
C4_P8_theta_connectivity,0.2737230030037389,0.4353807167497659,0.161657713746027,0.161657713746027
P3_Cz_beta_connectivity,0.08191079376994521,0.2433497224453466,0.16143892867540138,0.16143892867540138
O1_Pz_beta_connectivity,0.3904903771071916,0.5518529008780207,0.16136252377082916,0.16136252377082916
Fz_Pz_alpha_connectivity,0.11390521453698403,0.2748662771749824,0.16096106263799836,0.16096106263799836
P7_Cz_theta_connectivity,0.08368402355482454,0.24426936568883595,0.1605853421340114,0.1605853421340114
C4_P3_theta_connectivity,0.31137600680868766,0.47195227256340305,0.1605762657547154,0.1605762657547154
T8_Cz_beta_connectivity,0.1759809065502603,0.33577663305824723,0.15979572650798693,0.15979572650798693
F4_O2_beta_connectivity,-0.012974088234284031,0.14645321313850876,0.1594273013727928,0.1594273013727928
T8_P8_beta_connectivity,0.2216051124065425,0.37921189527138127,0.15760678286483878,0.15760678286483878
Fp2_P4_beta_connectivity,-0.05015063072356144,0.10712877793996611,0.15727940866352755,0.15727940866352755
O1_Cz_beta_connectivity,-0.05818442156586181,0.09890689061213491,0.1570913121779967,0.1570913121779967
F3_Pz_beta_connectivity,0.09213315125666492,0.24919624855593916,0.15706309729927426,0.15706309729927426
C3_P3_theta_connectivity,0.5924087091703237,0.7481440929313377,0.15573538376101392,0.15573538376101392
F4_P8_beta_connectivity,-0.03076835891362295,0.12451144278806953,0.15527980170169248,0.15527980170169248
P4_F8_theta_connectivity,0.12924159984943007,0.28268335700336444,0.15344175715393438,0.15344175715393438
C4_P3_alpha_connectivity,0.19069720153678957,0.34391025940538916,0.1532130578685996,0.1532130578685996
F4_Pz_theta_connectivity,0.08962883856861022,0.24192496503974975,0.15229612647113955,0.15229612647113955
O2_T8_theta_connectivity,0.21064152272766798,0.362494664681694,0.15185314195402602,0.15185314195402602
F4_P4_theta_connectivity,0.27437651657957673,0.42489418438981297,0.15051766781023623,0.15051766781023623
F3_Fz_beta_connectivity,0.5301213560644559,0.6801140003076125,0.14999264424315661,0.14999264424315661
P3_Fz_alpha_connectivity,0.07288653878117375,0.22164753765163453,0.1487609988704608,0.1487609988704608
temporal_occipital_alpha_connectivity,0.15036226741339606,0.29856216253830653,0.14819989512491047,0.14819989512491047
C3_O2_theta_connectivity,0.082527450305032,0.23067697921132105,0.14814952890628905,0.14814952890628905
P8_Cz_theta_connectivity,0.16314216200674592,0.310717925202607,0.14757576319586108,0.14757576319586108
F4_O2_theta_connectivity,0.06266138378564282,0.21000801364837882,0.147346629862736,0.147346629862736
C4_O1_alpha_connectivity,-0.006492203796125578,0.13967690944644506,0.14616911324257065,0.14616911324257065
Fp2_P4_alpha_connectivity,-0.06661099026391101,0.07917309068936765,0.14578408095327866,0.14578408095327866
F4_Pz_alpha_connectivity,-0.04945793222737439,0.09521965603402749,0.14467758826140187,0.14467758826140187
C4_P7_theta_connectivity,0.10991215012601029,0.2523078246194716,0.1423956744934613,0.1423956744934613
Fp1_O1_beta_connectivity,-0.09969497564107707,0.042479802107237806,0.14217477774831488,0.14217477774831488
F3_P3_alpha_connectivity,0.11536203794712338,0.2574248156363957,0.1420627776892723,0.1420627776892723
Fp1_Pz_beta_connectivity,-0.011383355025066263,0.13054246974122352,0.1419258247662898,0.1419258247662898
F3_P4_theta_connectivity,0.1245357276292349,0.2661627240920571,0.1416269964628222,0.1416269964628222
T8_Pz_alpha_connectivity,0.13388525536646928,0.2755010751085618,0.14161581974209253,0.14161581974209253
P7_Fz_beta_connectivity,-0.032627980158890076,0.10877303605539308,0.14140101621428317,0.14140101621428317
O1_F7_beta_connectivity,-0.0719718382013026,0.06825783203260581,0.14022967023390842,0.14022967023390842
T7_Pz_beta_connectivity,0.16564854123693615,0.30488981635948414,0.139241275122548,0.139241275122548
F8_P8_beta_connectivity,-0.0026122871117057124,0.13661948940826785,0.13923177651997357,0.13923177651997357
P3_Pz_beta_connectivity,0.5140952675465883,0.6531660002701013,0.139070732723513,0.139070732723513
F4_P3_theta_connectivity,0.14047888244712453,0.2781994076278933,0.13772052518076877,0.13772052518076877
F7_P7_beta_connectivity,0.028059134605523218,0.16555304098304788,0.13749390637752465,0.13749390637752465
Fp1_P3_alpha_connectivity,-0.021778265915372793,0.11372946855113167,0.13550773446650446,0.13550773446650446
F4_P7_theta_connectivity,0.01700328479573478,0.15220158406857004,0.13519829927283525,0.13519829927283525
F8_Cz_beta_connectivity,0.11682456897508972,0.25197868319898803,0.1351541142238983,0.1351541142238983
P3_F7_alpha_connectivity,0.045776224385060446,0.18067454269222313,0.1348983183071627,0.1348983183071627
P3_P7_beta_connectivity,0.37022938413214607,0.5034566545547827,0.13322727042263666,0.13322727042263666
T8_Cz_alpha_connectivity,0.22153489724074563,0.354466640548949,0.13293174330820337,0.13293174330820337
Fp2_P3_theta_connectivity,0.03142920925831326,0.16296486733441748,0.13153565807610423,0.13153565807610423
Fp2_Pz_alpha_connectivity,-0.16722237353394834,-0.03570806394888634,0.131514309585062,0.131514309585062
F4_P7_alpha_connectivity,-0.09913038268312112,0.03229101082299394,0.13142139350611506,0.13142139350611506
F3_P4_alpha_connectivity,-0.025899004329107533,0.10424373226019493,0.13014273658930245,0.13014273658930245
C4_Pz_beta_connectivity,0.15437347672833554,0.28403700902013385,0.1296635322917983,0.1296635322917983
P4_Fz_beta_connectivity,-0.08832672856539285,0.040673835948144846,0.1290005645135377,0.1290005645135377
P7_Cz_beta_connectivity,-0.0419056052423167,0.08655936233116435,0.12846496757348105,0.12846496757348105
F3_F7_alpha_connectivity,0.5519946330526636,0.6802609845134742,0.12826635146081056,0.12826635146081056
O1_F7_delta_connectivity,0.3633575353665888,0.2351209110738258,-0.12823662429276303,0.12823662429276303
F8_Pz_alpha_connectivity,-0.08081519436660807,0.04715975601071495,0.127974950377323,0.127974950377323
F3_P7_alpha_connectivity,0.02240263341215871,0.14989880928510507,0.12749617587294637,0.12749617587294637
Fz_Cz_theta_connectivity,0.37379988330123326,0.5011188989609086,0.1273190156596753,0.1273190156596753
P3_T7_alpha_connectivity,0.4317363174734936,0.5578910261396282,0.12615470866613454,0.12615470866613454
P4_T7_theta_connectivity,0.19863127740182046,0.3247099113241183,0.12607863392229784,0.12607863392229784
C3_P8_alpha_connectivity,0.0030509155569682467,0.12908144008680833,0.1260305245298401,0.1260305245298401
F3_Fz_alpha_connectivity,0.6684190274315092,0.793846746982471,0.12542771955096188,0.12542771955096188
F8_Pz_theta_connectivity,0.032098499184514004,0.157274139385702,0.125175640201188,0.125175640201188
Fp2_P8_beta_connectivity,-0.07746323605099749,0.047098007182775,0.12456124323377249,0.12456124323377249
F3_Pz_alpha_connectivity,0.09628249852745048,0.2184096209416727,0.12212712241422223,0.12212712241422223
F4_Fz_theta_connectivity,0.5969882004257919,0.7190220631215644,0.12203386269577243,0.12203386269577243
T8_P8_alpha_connectivity,0.434011576562447,0.5559845779048042,0.12197300134235717,0.12197300134235717
C3_F7_beta_connectivity,0.2757232361644535,0.39763424309151285,0.12191100692705936,0.12191100692705936
C4_O1_theta_connectivity,0.10387830084214558,0.22570201714315802,0.12182371630101244,0.12182371630101244
C4_O1_beta_connectivity,-0.012652784132735401,0.1089547328703457,0.1216075170030811,0.1216075170030811
F4_P8_theta_connectivity,0.13799410481658247,0.259099527092378,0.12110542227579552,0.12110542227579552
Fp1_P4_theta_connectivity,0.04929567049739345,0.17032586024810256,0.12103018975070912,0.12103018975070912
O1_Pz_alpha_connectivity,0.44306141313554637,0.5637146505150762,0.12065323737952982,0.12065323737952982
frontal_parietal_theta_connectivity,0.24828416750191368,0.3686222017048213,0.12033803420290762,0.12033803420290762
Fp2_O2_beta_connectivity,-0.030571842790872782,0.08965372769763581,0.1202255704885086,0.1202255704885086
Fp1_P7_beta_connectivity,-0.0452580292595597,0.07487372946185579,0.12013175872141549,0.12013175872141549
F4_P3_alpha_connectivity,-0.004597257229935268,0.11534236914239013,0.1199396263723254,0.1199396263723254
P4_T7_alpha_connectivity,0.0878889942320998,0.2072828599046411,0.1193938656725413,0.1193938656725413
O1_P8_delta_connectivity,0.33487693855378736,0.2169935080967427,-0.11788343045704466,0.11788343045704466
C4_P7_beta_connectivity,-0.023259415810945063,0.09433145262880947,0.11759086843975454,0.11759086843975454
P3_O1_beta_connectivity,0.5352196503236244,0.6519632711223275,0.11674362079870315,0.11674362079870315
Fp1_P4_alpha_connectivity,-0.10200431935444203,0.01463886862584096,0.11664318798028299,0.11664318798028299
F7_T7_beta_connectivity,0.3263806196913206,0.44258941785510114,0.11620879816378055,0.11620879816378055
frontal_occipital_alpha_connectivity,-0.1382318641423391,-0.02256566901295603,0.11566619512938306,0.11566619512938306
Fp1_F3_alpha_connectivity,0.61982738695061,0.735429419597331,0.11560203264672098,0.11560203264672098
Fz_Cz_alpha_connectivity,0.27803138427686647,0.3933203027678348,0.11528891849096834,0.11528891849096834
Fp1_Pz_alpha_connectivity,-0.005831585231236708,0.10908690257890576,0.11491848781014247,0.11491848781014247
F4_T7_theta_connectivity,0.2469351837438073,0.3591531389604027,0.11221795521659539,0.11221795521659539
central_temporal_beta_connectivity,0.4150972518551595,0.5266893839103389,0.11159213205517943,0.11159213205517943
Fp2_P4_theta_connectivity,0.13778363194638085,0.24893282426525218,0.11114919231887133,0.11114919231887133
T7_Fz_beta_connectivity,0.1530494087689783,0.26386971269893567,0.11082030392995737,0.11082030392995737
central_temporal_alpha_connectivity,0.5186864746327969,0.6294720661109184,0.1107855914781215,0.1107855914781215
C3_P8_theta_connectivity,0.1092106754290406,0.21995437259914602,0.11074369717010542,0.11074369717010542
P3_Pz_alpha_connectivity,0.601630473482454,0.7122640727227879,0.11063359924033389,0.11063359924033389
F4_F8_alpha_connectivity,0.5162113043699806,0.6267671983932946,0.110555894023314,0.110555894023314
F7_Cz_theta_connectivity,0.21838650316483635,0.32797089665561296,0.10958439349077662,0.10958439349077662
T7_Cz_theta_connectivity,0.3095324718539164,0.4188351362551673,0.10930266440125086,0.10930266440125086
O1_T7_delta_connectivity,0.5116699247432147,0.40284084173899765,-0.10882908300421706,0.10882908300421706
T8_Pz_theta_connectivity,0.1961496083619156,0.30433283583384385,0.10818322747192824,0.10818322747192824
Fp2_P3_alpha_connectivity,-0.09857597634807354,0.008988384116347533,0.10756436046442107,0.10756436046442107
O2_F8_alpha_connectivity,-0.08070375630336546,0.02609267109376258,0.10679642739712804,0.10679642739712804
P7_Pz_beta_connectivity,0.20861826230732625,0.3152555669568977,0.10663730464957147,0.10663730464957147
P4_F7_theta_connectivity,0.08582105096068444,0.19208467889234707,0.10626362793166262,0.10626362793166262
P3_P4_theta_connectivity,0.45105129718399345,0.5571758301546775,0.10612453297068408,0.10612453297068408
Fp1_O1_delta_connectivity,0.3171703497548973,0.21126444833296773,-0.10590590142192954,0.10590590142192954
F7_Cz_alpha_connectivity,0.11750974303098392,0.2230807995712753,0.10557105654029138,0.10557105654029138
C3_Pz_theta_connectivity,0.5061943025013896,0.6117357379032723,0.10554143540188266,0.10554143540188266
Fp2_P7_theta_connectivity,-0.01295085613398071,0.09241778821248356,0.10536864434646427,0.10536864434646427
F7_Pz_alpha_connectivity,0.000637319926318819,0.1060057177119117,0.10536839778559287,0.10536839778559287
F3_O1_delta_connectivity,0.44176900840375966,0.33645662225983297,-0.10531238614392668,0.10531238614392668
C4_F8_beta_connectivity,0.21600786389599985,0.3208267636350677,0.10481889973906783,0.10481889973906783
P4_F7_alpha_connectivity,-0.05276337972505267,0.05184436194352168,0.10460774166857435,0.10460774166857435
Fp2_P7_alpha_connectivity,-0.1192252188651508,-0.015435396546838388,0.10378982231831242,0.10378982231831242
C3_Fz_beta_connectivity,0.36404071934290133,0.4673101553933761,0.10326943605047478,0.10326943605047478
C4_P3_beta_connectivity,0.11972227408901531,0.22293985952319004,0.10321758543417472,0.10321758543417472
Fz_Pz_theta_connectivity,0.2880893339623232,0.3909965398608078,0.10290720589848457,0.10290720589848457
Fp2_O2_alpha_connectivity,-0.11742367965177064,-0.015176247251944856,0.10224743239982578,0.10224743239982578
Fp1_C3_beta_connectivity,0.23670453517022863,0.33854486280739277,0.10184032763716414,0.10184032763716414
frontal_occipital_delta_connectivity,0.37292633665341407,0.27109098036978624,-0.10183535628362783,0.10183535628362783
F4_F8_beta_connectivity,0.3976662971453607,0.4990699101118317,0.10140361296647099,0.10140361296647099
F4_O1_theta_connectivity,-0.029083921535243317,0.07175901102268639,0.10084293255792971,0.10084293255792971
C3_O1_theta_connectivity,0.32795762366473435,0.4285735584556171,0.10061593479088277,0.10061593479088277
F3_Fz_theta_connectivity,0.7484019658909713,0.8489931815152534,0.10059121562428208,0.10059121562428208
O2_P8_delta_connectivity,0.6995858137567691,0.5990114527216925,-0.10057436103507655,0.10057436103507655
P3_P8_delta_connectivity,0.35105008845785773,0.2508234245648834,-0.10022666389297435,0.10022666389297435
F3_O2_theta_connectivity,-0.019124850866015685,0.08108684344141284,0.10021169430742853,0.10021169430742853
C3_P4_beta_connectivity,0.12031898781928117,0.22040332952362995,0.10008434170434878,0.10008434170434878
P3_F8_theta_connectivity,0.08211214200680003,0.18176952147625236,0.09965737946945233,0.09965737946945233
O1_P7_delta_connectivity,0.714008789368167,0.614395494670581,-0.09961329469758606,0.09961329469758606
C4_T7_theta_connectivity,0.2949682562307652,0.3938731886205404,0.09890493238977516,0.09890493238977516
C3_T8_alpha_connectivity,0.14286631055099352,0.24137572780105007,0.09850941725005655,0.09850941725005655
Fp2_O1_theta_connectivity,-0.06946138800326836,0.028994433375680206,0.09845582137894857,0.09845582137894857
C3_P7_theta_connectivity,0.38949861648441314,0.48731278766898484,0.0978141711845717,0.0978141711845717
Fp2_T7_theta_connectivity,0.14803292127027765,0.24581901785361895,0.09778609658334131,0.09778609658334131
frontal_temporal_beta_connectivity,0.25957248216461043,0.3572482405151415,0.09767575835053105,0.09767575835053105
F4_Fz_delta_connectivity,0.5272798239326664,0.6247730875718892,0.09749326363922284,0.09749326363922284
F4_Fz_alpha_connectivity,0.5677758752606262,0.665194481563875,0.09741860630324872,0.09741860630324872
O2_F8_theta_connectivity,0.027819607569174957,0.12475238850285329,0.09693278093367834,0.09693278093367834
F4_O1_alpha_connectivity,-0.13834283183928095,-0.04183921868175271,0.09650361315752824,0.09650361315752824
F3_O1_alpha_connectivity,-0.04825991192799124,0.048236225467891684,0.09649613739588292,0.09649613739588292
F3_P8_theta_connectivity,0.03237933195004076,0.12873261395152494,0.09635328200148419,0.09635328200148419
F4_T8_alpha_connectivity,0.31386612806262687,0.40935411173148045,0.09548798366885358,0.09548798366885358
Cz_Pz_delta_connectivity,0.3717022608691181,0.4664322912236678,0.09473003035454969,0.09473003035454969
C4_Fz_theta_connectivity,0.3849957886917471,0.479679114732611,0.09468332604086388,0.09468332604086388
C3_Fz_alpha_connectivity,0.37800028417997944,0.47251423139906906,0.09451394721908962,0.09451394721908962
C4_Cz_beta_connectivity,0.5370139197715245,0.6312426263791643,0.09422870660763982,0.09422870660763982
T7_Pz_alpha_connectivity,0.1932067383775406,0.287045274997083,0.09383853661954239,0.09383853661954239
Fp2_F3_theta_connectivity,0.429125243906318,0.5226113932468095,0.09348614934049149,0.09348614934049149
Fp2_P8_alpha_connectivity,-0.07077132546685316,0.02252924264302165,0.09330056810987482,0.09330056810987482
P3_Fz_theta_connectivity,0.29850056700830696,0.39175600579890674,0.09325543879059978,0.09325543879059978
C4_T7_alpha_connectivity,0.1599332022008844,0.25285003252239363,0.09291683032150924,0.09291683032150924
F3_P8_alpha_connectivity,-0.06531773423613295,0.026808896780390744,0.09212663101652369,0.09212663101652369
P3_Cz_delta_connectivity,0.3407044636666375,0.4318824822348267,0.09117801856818925,0.09117801856818925
F4_F8_theta_connectivity,0.5670278994384073,0.6580324564866334,0.09100455704822619,0.09100455704822619
F8_P8_alpha_connectivity,0.07622745528701341,0.16682516533933522,0.09059771005232181,0.09059771005232181
C3_Cz_theta_connectivity,0.5696510749879781,0.6592209271185941,0.08956985213061608,0.08956985213061608
Fp1_F7_delta_connectivity,0.7525451780113074,0.6630713953717233,-0.08947378263958405,0.08947378263958405
P3_P4_alpha_connectivity,0.37897049004567634,0.4677560958707708,0.08878560582509448,0.08878560582509448
Fp2_O2_theta_connectivity,0.0298711584552474,0.11862186465088242,0.08875070619563502,0.08875070619563502
P3_T8_theta_connectivity,0.2235482317734818,0.31179335662469376,0.08824512485121197,0.08824512485121197
F4_F7_theta_connectivity,0.3589800304336643,0.4470455247632496,0.08806549432958533,0.08806549432958533
F3_F4_delta_connectivity,0.5326816135686502,0.6205419180891342,0.08786030452048399,0.08786030452048399
Fp2_Fz_beta_connectivity,0.3262483733418381,0.23841347018573592,-0.08783490315610218,0.08783490315610218
P3_T8_alpha_connectivity,0.10735194401849643,0.19486957220838644,0.08751762818989,0.08751762818989
C4_T8_beta_connectivity,0.409504687714134,0.49682098825791077,0.08731630054377676,0.08731630054377676
O1_T7_alpha_connectivity,0.19389574922481306,0.28117660147492,0.08728085225010696,0.08728085225010696
P8_Fz_alpha_connectivity,-0.04990790317904854,0.037234782373521534,0.08714268555257007,0.08714268555257007
O1_T8_alpha_connectivity,0.010465714223523446,0.09713050522327203,0.08666479099974858,0.08666479099974858
T7_Cz_alpha_connectivity,0.25277113533078926,0.3391748448013379,0.08640370947054865,0.08640370947054865
Fp1_T7_beta_connectivity,0.12360959321917539,0.20943996065912787,0.08583036743995248,0.08583036743995248
P4_P8_delta_connectivity,0.666522523265778,0.5808035509610303,-0.08571897230474768,0.08571897230474768
F8_T7_theta_connectivity,0.17713555936133096,0.26254718852521614,0.08541162916388517,0.08541162916388517
Fp1_F4_theta_connectivity,0.46475456679633415,0.5501378276280394,0.08538326083170528,0.08538326083170528
Fp2_F3_delta_connectivity,0.4509174926399832,0.5355473687109186,0.08462987607093536,0.08462987607093536
C4_F7_theta_connectivity,0.2408925972873688,0.32541505955702354,0.08452246226965474,0.08452246226965474
Fp2_C4_delta_connectivity,0.5756933094967519,0.49121927787254066,-0.08447403162421124,0.08447403162421124
C3_C4_alpha_connectivity,0.35101684594418636,0.43503276566809757,0.0840159197239112,0.0840159197239112
P3_F8_alpha_connectivity,-0.03388064296218322,0.04990912696826358,0.08378976993044679,0.08378976993044679
F3_O2_alpha_connectivity,-0.12769762398619594,-0.04411568271766947,0.08358194126852647,0.08358194126852647
P4_P7_alpha_connectivity,0.14780808548369703,0.2311666086853698,0.08335852320167278,0.08335852320167278
F3_P3_theta_connectivity,0.35982447354170405,0.44308340967148796,0.08325893612978391,0.08325893612978391
F7_Pz_delta_connectivity,0.41169048761535076,0.3284333894420912,-0.08325709817325955,0.08325709817325955
F4_Pz_beta_connectivity,-0.04290186565715987,0.04006702955220607,0.08296889520936594,0.08296889520936594
F8_Cz_alpha_connectivity,0.17727187808361677,0.2602237320030252,0.0829518539194084,0.0829518539194084
T8_Cz_theta_connectivity,0.3743333326035893,0.4568591839235205,0.08252585131993118,0.08252585131993118
C3_T8_theta_connectivity,0.29507511357455934,0.3775861968413236,0.08251108326676426,0.08251108326676426
O2_Fz_theta_connectivity,-0.028277411294922273,0.05415217840421036,0.08242958969913264,0.08242958969913264
C3_O2_beta_connectivity,0.0823892732335252,0.16465188597086125,0.08226261273733605,0.08226261273733605
T8_Pz_beta_connectivity,0.10397318424618343,0.1854180144746432,0.08144483022845977,0.08144483022845977
P4_O2_alpha_connectivity,0.6510329874667815,0.7318546942399158,0.08082170677313427,0.08082170677313427
T8_P8_theta_connectivity,0.4810153279148878,0.5610426366851551,0.08002730877026726,0.08002730877026726
