,frontal_delta_power_mean,frontal_theta_power_mean,frontal_alpha_power_mean,frontal_beta_power_mean,frontal_theta_beta_ratio,central_delta_power_mean,central_theta_power_mean,central_alpha_power_mean,central_beta_power_mean,central_theta_beta_ratio,parietal_delta_power_mean,parietal_theta_power_mean,parietal_alpha_power_mean,parietal_beta_power_mean,parietal_theta_beta_ratio,temporal_delta_power_mean,temporal_theta_power_mean,temporal_alpha_power_mean,temporal_beta_power_mean,temporal_theta_beta_ratio,occipital_delta_power_mean,occipital_theta_power_mean,occipital_alpha_power_mean,occipital_beta_power_mean,occipital_theta_beta_ratio
parietal_delta_power_mean,0.7453181439288691,0.5070853014726313,0.2828007779938872,0.22689636010002778,0.3844956932481245,0.8784662406223951,0.4480133370380661,0.03145318143928869,0.12675743262017228,0.43828841344818004,1.0,0.7464295637677133,0.3262572936926924,0.3342595165323701,0.49769380383439843,0.815893303695471,0.6819116421228119,0.336926924145596,0.29602667407613226,0.42950819672131146,0.9191997777160322,0.7439844401222562,0.3856626840789108,0.32470130591831065,0.40500138927479856
parietal_theta_power_mean,0.5850514031675466,0.7786607390941929,0.5686579605445957,0.43473186996387886,0.43723256460127813,0.6935815504306752,0.7925534870797444,0.37899416504584604,0.4385106974159489,0.4170047235343151,0.7464295637677133,1.0,0.5972214504028897,0.54231731036399,0.5174770769658238,0.5563767713253681,0.8614059460961379,0.5600444567935537,0.4308419005279244,0.47791053070297307,0.6952486801889414,0.7891636565712697,0.5321478188385663,0.4090025006946374,0.385440400111142
parietal_alpha_power_mean,0.394331758821895,0.620227841066963,0.8806335093081411,0.6599055293136983,0.03989997221450403,0.37982772992497915,0.6236176715754376,0.8386218393998333,0.7238677410391775,-0.07440955821061405,0.3262572936926924,0.5972214504028897,1.0,0.7779938871908864,-0.09058071686579605,0.2008891358710753,0.46901917199222004,0.8558488469019172,0.6313976104473464,-0.044178938594053904,0.29158099472075577,0.4820783550986385,0.7729924979160878,0.3772158933036955,0.13948318977493748
parietal_beta_power_mean,0.45006946373992773,0.648513475965546,0.7474854126146152,0.845290358432898,-0.10525145873853849,0.37126979716587943,0.5752709085857183,0.6242289524868019,0.8181161433731592,-0.24401222561822727,0.3342595165323701,0.54231731036399,0.7779938871908864,1.0,-0.3083078632953598,0.19944429008057793,0.383550986385107,0.6015004167824396,0.7182550708530148,-0.19877743817727148,0.31308696860238955,0.43262017227007504,0.7193109196999167,0.6640177827174215,-0.10914142817449292
parietal_theta_beta_ratio,0.26551819949986105,0.2500138927479856,-0.045123645457071405,-0.24167824395665463,0.6271186440677966,0.42117254792998055,0.3126424006668519,-0.19783273131425397,-0.2682411781050292,0.8111141983884412,0.49769380383439843,0.5174770769658238,-0.09058071686579605,-0.3083078632953598,1.0,0.4360655737704918,0.5618227285357044,0.07618782995276466,-0.1694915254237288,0.7553209224784663,0.4946929702695193,0.48896915809947206,-0.0027785495971103086,-0.17549319255348708,0.6316754654070575
temporal_delta_power_mean,0.6077799388719088,0.32258960822450683,0.13020283412058906,0.08152264517921645,0.2919699916643512,0.8411225340372326,0.4217282578494026,0.056515698805223676,0.1125868296749097,0.39855515420950266,0.815893303695471,0.5563767713253681,0.2008891358710753,0.19944429008057793,0.4360655737704918,1.0,0.7298694081689359,0.3387051958877466,0.22845234787440954,0.5448180050013893,0.8288969158099472,0.7005834954153931,0.27046401778271745,0.16710197277021394,0.49780494581828283
temporal_theta_power_mean,0.5453737149208113,0.683023061961656,0.45607113086968604,0.326146151708808,0.4440677966101695,0.7305362600722423,0.8151153098082801,0.3812170047235343,0.4027229786051681,0.4784662406223951,0.6819116421228119,0.8614059460961379,0.46901917199222004,0.383550986385107,0.5618227285357044,0.7298694081689359,1.0,0.6351764378994165,0.409169213670464,0.6361767157543762,0.6645179216449013,0.760100027785496,0.4267852181161434,0.25368157821617116,0.482745207001945
temporal_alpha_power_mean,0.3974437343706585,0.5711030841900528,0.8292303417616005,0.5583217560433453,0.09491525423728814,0.4451792164490136,0.6843011947763268,0.8163378716310086,0.6942484023339817,0.04551264240066685,0.336926924145596,0.5600444567935537,0.8558488469019172,0.6015004167824396,0.07618782995276466,0.3387051958877466,0.6351764378994165,1.0,0.6225618227285357,0.13626007224228953,0.30664073353709365,0.48969158099472077,0.6873575993331481,0.27918866351764376,0.2277854959711031
temporal_beta_power_mean,0.40138927479855513,0.5348707974437343,0.6240622395109753,0.7425395943317589,-0.15198666296193386,0.36599055293136984,0.533425951653237,0.6061128091136426,0.8031119755487636,-0.2468463462072798,0.29602667407613226,0.4308419005279244,0.6313976104473464,0.7182550708530148,-0.1694915254237288,0.22845234787440954,0.409169213670464,0.6225618227285357,1.0,-0.34253959433175885,0.26318421783828844,0.3027507641011392,0.49341483745484854,0.5087524312308974,-0.11086412892470131
temporal_theta_beta_ratio,0.2297304806890803,0.23701028063350932,-0.05657126979716588,-0.26974159488746874,0.6281189219227563,0.4366212836899139,0.3710475131981106,-0.13287024173381495,-0.23395387607668797,0.7517088080022228,0.42950819672131146,0.47791053070297307,-0.044178938594053904,-0.19877743817727148,0.7553209224784663,0.5448180050013893,0.6361767157543762,0.13626007224228953,-0.34253959433175885,1.0,0.44356765768268963,0.5163100861350375,0.0315087524312309,-0.22022784106696305,0.6752431230897471
occipital_delta_power_mean,0.7155876632397888,0.47057515976660186,0.25801611558766324,0.24290080577938317,0.3272575715476521,0.8629063628785774,0.4182828563489858,0.011280911364267851,0.1234231731036399,0.4198388441233676,0.9191997777160322,0.6952486801889414,0.29158099472075577,0.31308696860238955,0.4946929702695193,0.8288969158099472,0.6645179216449013,0.30664073353709365,0.26318421783828844,0.44356765768268963,1.0,0.8506251736593499,0.4850791886635176,0.2910252848013337,0.5332036676854682
occipital_theta_power_mean,0.5377604890247291,0.5450958599611003,0.40622395109752707,0.35198666296193387,0.28152264517921644,0.7273131425395943,0.5514309530425118,0.21767157543762156,0.2721867185329258,0.3703250903028619,0.7439844401222562,0.7891636565712697,0.4820783550986385,0.43262017227007504,0.48896915809947206,0.7005834954153931,0.760100027785496,0.48969158099472077,0.3027507641011392,0.5163100861350375,0.8506251736593499,1.0,0.6818560711308697,0.31503195332036676,0.6191164212281189
occipital_alpha_power_mean,0.4675743262017227,0.5653792720200056,0.7472075576549041,0.6579605445957211,0.030119477632675744,0.4080022228396777,0.5163100861350375,0.58438455126424,0.567379827729925,0.013614893025840511,0.3856626840789108,0.5321478188385663,0.7729924979160878,0.7193109196999167,-0.0027785495971103086,0.27046401778271745,0.4267852181161434,0.6873575993331481,0.49341483745484854,0.0315087524312309,0.4850791886635176,0.6818560711308697,1.0,0.5511530980828008,0.17721589330369547
occipital_beta_power_mean,0.39560989163656574,0.49736037788274523,0.43262017227007504,0.5895526535148652,-0.03362045012503473,0.23067518755209782,0.33748263406501805,0.30464017782717423,0.4747429841622673,-0.1540983606557377,0.32470130591831065,0.4090025006946374,0.3772158933036955,0.6640177827174215,-0.17549319255348708,0.16710197277021394,0.25368157821617116,0.27918866351764376,0.5087524312308974,-0.22022784106696305,0.2910252848013337,0.31503195332036676,0.5511530980828008,1.0,-0.4774103917754932
occipital_theta_beta_ratio,0.24201166990830786,0.16554598499583217,0.07335370936371215,-0.10980828007779939,0.36282300639066406,0.4744651292025563,0.2605723812170047,-0.034176160044456796,-0.11091969991664351,0.5499305362600723,0.40500138927479856,0.385440400111142,0.13948318977493748,-0.10914142817449292,0.6316754654070575,0.49780494581828283,0.482745207001945,0.2277854959711031,-0.11086412892470131,0.6752431230897471,0.5332036676854682,0.6191164212281189,0.17721589330369547,-0.4774103917754932,1.0
