feature,ADHD_mean,Control_mean,ADHD_median,Control_median,p_value,cohen_d,abs_effect_size,p_fdr
P3_theta_beta_ratio,1.9502614987610842,2.3199514934032086,1.840509311362052,2.042409593455616,0.20129483783194735,-0.3309458676913076,0.3309458676913076,0.3904294431837519
C3_theta_power,1851.920228164079,2318.6355769705847,1508.211615991136,1725.9252613067829,0.27289105350789145,-0.3215652056023677,0.3215652056023677,0.4366256856126263
F4_delta_power,7678.580215781636,11060.8679729823,5223.587024560174,5298.616881224802,0.5020065090084328,-0.3025448026625668,0.3025448026625668,0.6520180549499653
F3_theta_power,1965.6177940721286,2818.1565818174986,1689.202489598762,1730.446493773072,0.7537977152876235,-0.29989729766426426,0.29989729766426426,0.8614831031858554
C4_theta_beta_ratio,2.1963451858885445,2.704168412534656,1.7975402458631442,2.249401094125127,0.01451395159991714,-0.2895089259996918,0.2895089259996918,0.15551706965488643
Pz_theta_beta_ratio,2.5609863534736927,3.2076377907732216,2.166231916005505,2.763792594821977,0.00918766670476481,-0.28948182974090325,0.28948182974090325,0.13781500057147214
P7_beta_power,1509.284732109347,1839.6931577558942,1168.281293489766,1454.846721726819,0.0676423894727773,-0.28427745583004643,0.28427745583004643,0.2105384409731771
parietal_alpha_power_mean,1365.3716402952598,1680.9980678110228,1118.585571211679,1315.824888823202,0.1444788746311423,-0.28420286613941825,0.28420286613941825,0.3210641658469829
parietal_beta_power_mean,1316.973116869651,1888.2976300941816,1092.6728607837558,1231.1224938801115,0.31831238957768415,-0.2723146080707131,0.2723146080707131,0.4774685843665262
Pz_alpha_power,1576.4277098883067,1901.1700081225144,1299.4774801845383,1530.5648673095188,0.09455194967314379,-0.2715984025573827,0.2715984025573827,0.2701484276375537
frontal_theta_power_mean,2399.5653712147823,2873.6995022193905,1925.5761165961508,2149.2637014888764,0.20312907689125936,-0.2688086497639265,0.2688086497639265,0.3904294431837519
Cz_alpha_power,1459.103604487232,1980.4447924142987,1252.419794514074,1209.6660494872026,0.825619901733847,-0.26684779358278493,0.26684779358278493,0.9006762564369241
occipital_delta_power_mean,10263.99139380111,13912.219686341417,6598.611444265341,8272.862200781128,0.09455194967314379,-0.2663113303709462,0.2663113303709462,0.2701484276375537
C3_theta_beta_ratio,2.378225129991824,2.7706199457833023,2.244910991124898,2.4735132767513313,0.019252581958462127,-0.2652883082206126,0.2652883082206126,0.15551706965488643
O2_delta_power,10151.495834324785,13386.574655485825,6861.47983002096,8803.497362521619,0.06842499331628256,-0.26277568704126325,0.26277568704126325,0.2105384409731771
T8_theta_power,1978.2904561552675,2453.5397321408086,1529.7196069595475,1770.6327543771715,0.22609536815383924,-0.25446448654802795,0.25446448654802795,0.4110824875524349
Fp1_delta_power,8133.866074965427,10820.506821169538,4968.334832633372,6028.186580884028,0.038355743626737146,-0.24927332119129605,0.24927332119129605,0.17482246554713288
parietal_theta_beta_ratio,1.8603877918085154,2.137545353126184,1.6636249238069865,1.9883689780294371,0.15472892348537853,-0.2455584164332235,0.2455584164332235,0.33759037851355317
P4_beta_power,1072.9141044595087,1320.1175733859964,894.9269376593588,987.0401650234455,0.559753996111638,-0.24500969527283903,0.24500969527283903,0.7040608369345003
central_alpha_power_mean,1519.0435523318256,1842.744372217337,1109.3318455169792,1230.6060156776425,0.5053139925862231,-0.24356403748336988,0.24356403748336988,0.6520180549499653
C4_theta_power,2156.8536784614935,2841.9615498423013,1614.310250539906,1764.5093054431918,0.4569291951616733,-0.24228071892105474,0.24228071892105474,0.6230852661295545
F4_beta_power,1479.1542840198103,1251.115338379072,1214.784262821678,963.0574290743189,0.023327560448232965,0.2420659674645072,0.2420659674645072,0.15551706965488643
P4_alpha_power,1416.806027784377,1744.9369445705552,1101.0648242342306,1246.23838435666,0.12175659682217904,-0.24023539303551658,0.24023539303551658,0.29541063881392826
O1_delta_power,10376.486953277436,14437.864717197015,6887.797995930215,7197.3174272323395,0.14164803474747392,-0.2388768903323743,0.2388768903323743,0.32071253150371454
T8_beta_power,1609.9627979055142,1354.2159376467655,1121.7452014275875,1051.7727779467345,0.37956479139178534,0.23456510978281048,0.23456510978281048,0.5422354162739791
P3_alpha_power,1485.929689578996,2144.83557441232,1154.1621378365676,1236.6793387366993,0.8418040830662081,-0.22997095010214288,0.22997095010214288,0.9019329461423659
temporal_beta_power_mean,1365.5894548473602,1186.7724603618285,1073.9368509135732,1034.7126490185403,0.27062990229013817,0.2261653467949333,0.2261653467949333,0.4366256856126263
F7_alpha_power,1089.946681638004,1234.2917530347966,879.4539955555077,1039.1044185358605,0.47276187997480656,-0.21670022229942515,0.21670022229942515,0.6374317482806381
T8_delta_power,11345.100936341409,15194.291335639673,6206.28784150301,6668.075967359862,0.27062990229013817,-0.2089308810547429,0.2089308810547429,0.4366256856126263
O2_theta_power,3226.023772049424,3817.3622678279894,2639.934539416892,3353.1976381790632,0.020069196445101637,-0.20800791394854834,0.20800791394854834,0.15551706965488643
P3_beta_power,1164.1634809630357,3193.555262025416,950.4437946652432,1026.1273972425386,0.9194796481900499,-0.2079320090098668,0.2079320090098668,0.9637522544989361
central_delta_power_mean,7947.655555589058,10050.421546419926,4425.733546057326,4720.611344261664,0.20312907689125936,-0.19345319662208782,0.19345319662208782,0.3904294431837519
Fz_beta_power,1574.018755467761,1243.563296533476,1104.1347753515088,1070.9121057867756,0.438329478502157,0.19033908078717715,0.19033908078717715,0.6045923841409062
Cz_beta_power,1069.4793119452645,2306.7826680975963,934.7815581435308,877.7381370017702,0.7031820729242639,-0.1899359671582315,0.1899359671582315,0.8272730269697223
central_beta_power_mean,999.0969720529407,1417.0900774330187,853.9230298224026,842.6582098501301,0.6955040598511247,-0.18625530486154657,0.18625530486154657,0.8263414572488611
Cz_theta_beta_ratio,2.5633067957368074,2.9606181207449285,2.173974588821226,2.8371715683163234,0.008778980432836758,-0.184513442782717,0.184513442782717,0.13781500057147214
Pz_beta_power,1109.2251111261633,1239.9276553147142,933.966061085537,936.1873622710493,0.765639396441885,-0.17832837233102483,0.17832837233102483,0.8667615808776056
Fp1_theta_beta_ratio,1.6072643300986689,1.7814885904229854,1.3300420897605625,1.4949804259625383,0.5424400938451263,-0.17726367822173628,0.17726367822173628,0.6924767155469697
C4_alpha_power,1584.3856681758248,1862.038596504698,1217.437491714891,1077.241834665598,0.8337031849126123,-0.17044154631229222,0.17044154631229222,0.9013007404460673
Fp1_theta_power,2289.967102105675,2653.474949917411,1845.8382732387868,1939.3441037195066,0.2867290248653712,-0.16822536121608928,0.16822536121608928,0.44473942780328424
F8_delta_power,13747.446141126853,17032.74428857657,6951.991740851001,8185.088675100942,0.25733291055585605,-0.16713901146576673,0.16713901146576673,0.4288881842597601
F8_theta_power,2641.536957308439,3057.538168867994,1827.9521850585752,2333.884921421013,0.19586466001907954,-0.15359222524982455,0.15359222524982455,0.3904294431837519
Fz_theta_power,2803.921953950133,3093.5831083571757,2332.4341898369794,2663.4152226301167,0.7302897644235384,-0.14941323885665622,0.14941323885665622,0.8426420358733135
F3_alpha_power,1180.274995369219,1335.066331321395,1044.7488802768023,963.7771590882267,0.9524609093954202,-0.14838449129946157,0.14838449129946157,0.9686043146394104
T7_alpha_power,1001.2316286975946,1111.5363842302763,759.6547258000447,865.2399869821728,0.4112625826942996,-0.1454254078305942,0.1454254078305942,0.5738547665501855
T7_beta_power,1121.2161117892065,1019.3289830768911,879.6250793524939,794.6716873947008,0.6389569989690538,0.14052619912988606,0.14052619912988606,0.7744933320837016
temporal_alpha_power_mean,1032.62579628549,1115.05826798947,776.1768920101126,913.0186229684906,0.3441020375426763,-0.1294976217055474,0.1294976217055474,0.5035639573795263
C3_alpha_power,1513.6413843324199,1685.7497277330142,1081.8424052185796,1035.490800987027,0.8743670611628918,-0.11746468207110619,0.11746468207110619,0.9285313923853717
Fp2_beta_power,2080.15771260699,1842.276755360863,1172.1353897791903,1371.087119685964,0.944205731179765,0.1121796259967239,0.1121796259967239,0.9684161345433487
F8_beta_power,1466.0991510199894,1350.465576892417,1203.57829884978,1050.0563180362888,0.23009650880816201,0.11195457687961259,0.11195457687961259,0.41211315010417077
frontal_beta_power_mean,1555.639775697769,1454.0528487925792,1192.9045585685224,1182.1156325319087,0.5053139925862231,0.09752630224273166,0.09752630224273166,0.6520180549499653
C3_delta_power,7607.961667710315,8657.29375198844,3669.141659235515,4546.919573914193,0.2105877522902313,-0.08767952371802228,0.08767952371802228,0.3948520355441837
F4_alpha_power,1243.8484787985626,1306.253231365935,1127.0682380935284,1099.5560968149655,0.9318344666517302,-0.0843892795039359,0.0843892795039359,0.9639666896397209
F7_beta_power,1426.9014085993642,1516.5756625047868,1146.0307366482398,1138.1015154996908,0.9772535264862411,-0.08303735309335415,0.08303735309335415,0.9854657409945288
O2_beta_power,2692.4553746755487,2439.9377352076317,1778.076545352635,1808.7887368411048,0.9235959105614805,0.08166076824873451,0.08166076824873451,0.9637522544989361
O1_beta_power,2300.015511360104,2514.418259262071,1630.3520918258105,1869.1053192307422,0.28908062807213475,-0.08013704279858794,0.08013704279858794,0.44473942780328424
T8_alpha_power,1064.019963873385,1118.580151748664,794.315803298763,929.1383331059969,0.482404579480182,-0.07826603609324807,0.07826603609324807,0.643206105973576
C4_delta_power,9878.841012234903,11212.824132262149,4452.77620728738,4152.436650535687,0.4112625826942996,-0.07228067977173017,0.07228067977173017,0.5738547665501855
P8_theta_power,2665.6111221604083,2929.2282691587166,1619.805119413916,2097.937810314288,0.029265026131154014,-0.07181414578429868,0.07181414578429868,0.16943750102818614
Fp1_beta_power,1681.7121755647033,1802.0774074269332,1358.222912213705,1343.6804064778908,0.6726593478635974,-0.07118508207326625,0.07118508207326625,0.8071912174363168
P8_beta_power,1729.2781556902003,1848.194501988888,1297.7159419589016,1273.0433917206476,0.8014839994382632,-0.0688140718881823,0.0688140718881823,0.8867825869190349
frontal_alpha_power_mean,1246.0677914892287,1296.8408362733066,1028.911632526731,1056.949036176988,0.7186285638145724,-0.06881286374367754,0.06881286374367754,0.8372371617257155
Fp2_alpha_power,1412.9780092661906,1328.8312410765914,924.65784895371,1101.3048260502906,0.20312907689125936,0.06563145026696494,0.06563145026696494,0.3904294431837519
Fp1_alpha_power,1198.7912747723308,1252.29882987473,913.522814012662,1020.558293405887,0.3133104591507382,-0.06023813097794125,0.06023813097794125,0.4759146214947922
Fp2_delta_power,12051.290024739706,13155.44902726182,5873.022846211139,8460.393200107585,0.20312907689125936,-0.05970115365179714,0.05970115365179714,0.3904294431837519
F8_alpha_power,1155.4015714656944,1187.855067517425,941.4827145637956,949.605610678565,0.9937956382927476,-0.044463811185857044,0.044463811185857044,0.9937956382927476
P8_delta_power,12545.148697665318,13173.529728261143,5445.983761551965,6267.197868712936,0.24240124545273478,-0.02609725933473435,0.02609725933473435,0.4132330331318809
P8_alpha_power,1293.3689409169415,1257.9476391567202,795.8338879952012,966.7331788192475,0.07245041155314132,0.022782537336753315,0.022782537336753315,0.21735123465942396
C4_beta_power,1048.5405653579514,1068.6297477092867,853.5559855690424,820.0188081854362,0.36566738622340544,-0.022085346285498852,0.022085346285498852,0.5286757391181766
P8_theta_beta_ratio,2.04252473177185,1.996993181115677,1.3359691224389922,1.5795782751124796,0.09765951683545765,0.013743964666075298,0.013743964666075298,0.2716153978451508
O2_alpha_power,1959.3487352963296,1985.3157380196922,1385.8880064035152,1681.3733007088224,0.12427511432403146,-0.013605336749686553,0.013605336749686553,0.29541063881392826
O1_alpha_power,2096.684919357388,2075.393795918787,1604.6338198699384,1652.3910606667969,0.8054941831181234,0.012038463084228705,0.012038463084228705,0.8867825869190349
F3_beta_power,1181.4349426057663,1172.2959044505042,951.663018287658,957.2133012491563,0.5632486695476002,0.012001190317835616,0.012001190317835616,0.7040608369345003
Fp2_theta_power,2929.8134889520256,2972.4807763248727,1967.9530858003789,2406.4275576480586,0.09977619456723376,-0.010973291123029244,0.010973291123029244,0.2716153978451508
Fz_alpha_power,1441.2335291146012,1433.289399722274,1277.2632576008475,1117.51204818673,0.6315646819149188,0.009223378213375887,0.009223378213375887,0.7733445084672474
occipital_beta_power_mean,2496.2354430178257,2477.177997234851,1760.567615087828,1937.6832186467716,0.5844347161010564,0.00815186018751241,0.00815186018751241,0.7230120199188326
C3_beta_power,879.2710388556061,875.8578164921742,719.9487552355009,738.5834926460975,0.7775361001912514,0.0065447032569443285,0.0065447032569443285,0.8720031030182258
occipital_alpha_power_mean,2028.0168273268582,2030.354766969239,1523.296423081099,1691.1410585321516,0.23414774579883546,-0.0013332886115381725,0.0013332886115381725,0.4132019043508861
