feature_set,selected_feature,pretty_feature
All EEG features,F7_theta_beta_ratio,F7 ${\theta}/{\beta}$ ratio
All EEG features,F8_delta_power,F8_delta_power
All EEG features,F8_theta_power,F8 ${\theta}$ power
All EEG features,F8_alpha_power,F8_alpha_power
All EEG features,F8_beta_power,F8 ${\beta}$ power
All EEG features,F8_theta_beta_ratio,F8 ${\theta}/{\beta}$ ratio
All EEG features,T7_delta_power,T7_delta_power
All EEG features,T7_theta_power,T7_theta_power
All EEG features,T7_alpha_power,T7_alpha_power
All EEG features,T7_beta_power,T7_beta_power
All EEG features,T7_theta_beta_ratio,T7 ${\theta}/{\beta}$ ratio
All EEG features,T8_delta_power,T8_delta_power
All EEG features,T8_theta_power,T8 ${\theta}$ power
All EEG features,T8_alpha_power,T8_alpha_power
All EEG features,T8_beta_power,T8 ${\beta}$ power
All EEG features,T8_theta_beta_ratio,T8 ${\theta}/{\beta}$ ratio
All EEG features,P7_delta_power,P7 ${\delta}$ power
All EEG features,P7_theta_power,P7 ${\theta}$ power
All EEG features,P7_alpha_power,P7_alpha_power
All EEG features,P7_beta_power,P7 ${\beta}$ power
All EEG features,P7_theta_beta_ratio,P7 ${\theta}/{\beta}$ ratio
All EEG features,P8_delta_power,P8_delta_power
All EEG features,P8_theta_power,P8_theta_power
All EEG features,P8_alpha_power,P8_alpha_power
All EEG features,P8_beta_power,P8_beta_power
All EEG features,P8_theta_beta_ratio,P8_theta_beta_ratio
All EEG features,Fz_delta_power,Fz_delta_power
All EEG features,Fz_theta_power,Fz_theta_power
All EEG features,Fz_alpha_power,Fz_alpha_power
All EEG features,Fz_beta_power,Fz_beta_power
All EEG features,Fz_theta_beta_ratio,Fz_theta_beta_ratio
All EEG features,Cz_delta_power,Cz_delta_power
All EEG features,Cz_theta_power,Cz_theta_power
All EEG features,Cz_alpha_power,Cz_alpha_power
All EEG features,Cz_beta_power,Cz_beta_power
All EEG features,Cz_theta_beta_ratio,Cz_theta_beta_ratio
All EEG features,Pz_delta_power,Pz ${\delta}$ power
All EEG features,Pz_theta_power,Pz ${\theta}$ power
All EEG features,Pz_alpha_power,Pz_alpha_power
All EEG features,Pz_beta_power,Pz ${\beta}$ power
All EEG features,Pz_theta_beta_ratio,Pz ${\theta}/{\beta}$ ratio
All EEG features,frontal_delta_power_mean,frontal_delta_power_mean
All EEG features,frontal_theta_power_mean,Frontal ${\theta}$ power
All EEG features,frontal_alpha_power_mean,Frontal ${\alpha}$ power
All EEG features,frontal_beta_power_mean,Frontal ${\beta}$ power
All EEG features,frontal_theta_beta_ratio,Frontal ${\theta}/{\beta}$ ratio
All EEG features,central_delta_power_mean,Central ${\delta}$ power
All EEG features,central_theta_power_mean,Central ${\theta}$ power
All EEG features,central_alpha_power_mean,Central ${\alpha}$ power
All EEG features,central_beta_power_mean,Central ${\beta}$ power
All EEG features,central_theta_beta_ratio,Central ${\theta}/{\beta}$ ratio
All EEG features,parietal_delta_power_mean,Parietal ${\delta}$ power
All EEG features,parietal_theta_power_mean,Parietal ${\theta}$ power
All EEG features,parietal_alpha_power_mean,Parietal ${\alpha}$ power
All EEG features,parietal_beta_power_mean,Parietal ${\beta}$ power
All EEG features,parietal_theta_beta_ratio,Parietal ${\theta}/{\beta}$ ratio
All EEG features,temporal_delta_power_mean,Temporal ${\delta}$ power
All EEG features,temporal_theta_power_mean,Temporal ${\theta}$ power
All EEG features,temporal_alpha_power_mean,Temporal ${\alpha}$ power
All EEG features,temporal_beta_power_mean,Temporal ${\beta}$ power
All EEG features,temporal_theta_beta_ratio,Temporal ${\theta}/{\beta}$ ratio
All EEG features,occipital_delta_power_mean,Occipital ${\delta}$ power
All EEG features,occipital_theta_power_mean,Occipital ${\theta}$ power
All EEG features,occipital_alpha_power_mean,occipital_alpha_power_mean
All EEG features,occipital_beta_power_mean,Occipital ${\beta}$ power
All EEG features,occipital_theta_beta_ratio,Occipital ${\theta}/{\beta}$ ratio
